dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,3,), (2,), )",-1,66151815,66151815,73387311,73387311,73387311,64658388,59102199,64670827,59110134,69720919,64731137,59581887,64733115,59584983,66270580,61351920,58039102,61368288,58045226,54759960,81513817,74588650,81517841,74591506,81131059,84076852,74928436,84077552,74927682,83388266,166162556,149868154,166162556,149868154,161094588,6.097067393254895,17.32971012097464,"(7.281448534546757,4.669183363062301,7.768454312348222,)","(15,15,11,)","(1.1858053174474947e-05,2.617109392022791e-06,1.1858053174474947e-05,)"
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,2,3,), )",-1,71289827,71289827,73387311,73387311,73387311,70378485,59115364,70378980,59119735,69720919,69058005,59582489,69058780,59584681,66270580,61798741,58041159,61800069,58047441,54759960,84280358,74591502,84278807,74589296,81131059,85688210,74928154,85687037,74927093,83388266,164389114,149868154,164389114,149868154,161094588,6.569284839713937,17.32971012097464,"(7.281448534546757,6.33189694143633,)","(15,22,)","(1.1858053174474947e-05,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (3,), (1,2,0,), )",-1,66210985,66210985,73387311,73387311,73387311,63186476,59114599,63186067,59110074,69720919,60398949,59580997,60400462,59583105,66270580,57273935,58043229,57290785,58071814,54759960,74101733,74589686,74100286,74589097,81131059,74948355,74929179,74949616,74928330,83388266,149631880,149868154,149631880,149868154,161094588,6.10062400335439,17.32971012097464,"(3.018793951253024,7.127900687388179,)","(12,23,)","(1.1580130053198191e-06,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,0,2,), (3,), )",-1,66210985,66210985,73387311,73387311,73387311,62807674,59118767,62807506,59119735,69720919,60009914,59583600,60011572,59584681,66270580,54761007,58043011,54770116,58047441,54759960,74419057,74589119,74418794,74589296,81131059,74774825,74927017,74774908,74927093,83388266,148072842,149868154,148072842,149868154,161094588,6.10062400335439,17.32971012097464,"(7.127900687388179,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,0,), (3,2,), )",-1,68878785,68878785,73387311,73387311,73387311,66989246,59110179,66994149,59110134,69720919,65043441,59583254,65043983,59584983,66270580,54814909,58043431,54832129,58045226,54759960,83931743,74589126,83931796,74591506,81131059,86028874,74927118,86028898,74927682,83388266,163260294,149868154,163260294,149868154,161094588,6.347622439153166,17.32971012097464,"(6.4808099200075375,6.214434958298794,)","(30,15,)","(5.929026587237474e-06,5.929026587237474e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,1,3,), (2,), )",-1,70668869,70668869,73387311,73387311,73387311,65017430,59113242,65018920,59113456,69720919,61996578,59583007,61997093,59584463,66270580,52088550,58042519,52110723,58047222,54759960,80028199,74591559,80028201,74591553,81131059,83087949,74928150,83088118,74928315,83388266,162741544,149868154,162741544,149868154,161094588,6.517033059474592,17.32971012097464,"(6.099892641850048,7.768454312348222,)","(23,11,)","(3.952684391491649e-06,1.1858053174474947e-05,)"
tpcds_web_f32,86354816,4,21588704,"( (2,1,0,), (3,), )",-1,66210985,66210985,73387311,73387311,73387311,62567132,59111763,62567372,59112047,69720919,59779321,59580712,59780957,59581700,66270580,55139508,58043164,55149007,58045230,54759960,73709225,74589740,73708959,74589537,81131059,74609676,74928679,74609759,74928726,83388266,148011150,149868154,148011150,149868154,161094588,6.1006240033543895,17.32971012097464,"(7.127900687388178,3.018793951253024,)","(23,12,)","(3.952684391491649e-06,1.1580130053198191e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (0,), (2,), (1,3,), )",-1,65842864,65842864,73387311,73387311,73387311,65298911,59103015,65313139,59113367,69720919,66119381,59582349,66120580,59582799,66270580,59756431,58037917,59762117,58043617,54759960,84961261,74589265,84961802,74588355,81131059,86189838,74930348,86191152,74928695,83388266,164091190,149868154,164091190,149868154,161094588,6.068131912926276,17.32971012097464,"(4.539479244946322,7.768454312348222,5.9822970472052805,)","(20,11,15,)","(4.493090460640898e-06,1.1858053174474947e-05,5.929026587237474e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (1,), (0,3,2,), )",-1,71289827,71289827,73387311,73387311,73387311,70371671,59102834,70376092,59110134,69720919,69483027,59582025,69483254,59584983,66270580,61804908,58043647,61805558,58045226,54759960,85242028,74588612,85244472,74591506,81131059,85798029,74928456,85798298,74927682,83388266,164397058,149868154,164397058,149868154,161094588,6.569284839713936,17.32971012097464,"(7.281448534546757,6.331896941436329,)","(15,22,)","(1.1858053174474947e-05,3.952684391491649e-06,)"
tpcds_web_f32,86354816,4,21588704,"( (3,0,1,), (2,), )",-1,70668869,70668869,73387311,73387311,73387311,64933915,59111091,64935412,59111905,69720919,62359363,59582275,62359570,59582252,66270580,53071417,58066280,53098372,58071193,54759960,79758092,74588961,79758090,74588958,81131059,83077390,74927604,83077559,74927581,83388266,162973556,149868154,162973556,149868154,161094588,6.517033059474592,17.32971012097464,"(6.099892641850048,7.768454312348222,)","(23,11,)","(3.952684391491649e-06,1.1858053174474947e-05,)"
