dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpch_order_f64,119999992,8,14999999,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,94028093,94028093,101038898,101038898,101038898,93942744,79759182,93953193,79762047,65361848,91963551,81853600,91965254,81857158,64358203,75582419,80157792,75616775,80167383,55619739,120067862,111085484,120067216,111086610,88474966,120007377,112482087,120007339,112481122,87187952,237997384,219242018,237997384,219242018,223945228,6.225644059101519,23.404651117806495,"(4.643875349286335,6.558880518122112,6.1834372664576325,)","(6,4,5,)","(2.4000001600000106e-06,3.413333560888904e-06,5.400000360000024e-06,)"
tpch_order_f64,119999992,8,14999999,"( (6,2,1,5,0,3,), (4,7,), )",-1,94595992,94595992,101038898,101038898,101038898,76256880,79760828,76261853,79772325,65361848,80568465,81852231,80568927,81852604,64358203,56388612,80146397,56388962,80150225,55619739,115869328,111085123,115869757,111084859,88474966,119417280,112481084,119417383,112482395,87187952,229659292,219242018,229659292,219242018,223945228,6.280854909538811,23.404651117806495,"(6.554052893473286,5.461260957735387,)","(8,7,)","(2.8444446340740867e-06,8.53333390222226e-06,)"
tpch_order_f64,119999992,8,14999999,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,89945242,89945242,101038898,101038898,101038898,89948580,79747433,89961835,79757024,65361848,90918135,81852832,90923089,81854801,64358203,85005350,80154798,85055140,80191694,55619739,111041939,111088381,111041586,111086660,88474966,112482078,112482078,112481122,112481122,87187952,221315334,219242018,221315334,219242018,223945228,5.8910430162628415,23.404651117806495,"(4.643855345365141,0.992923052948401,7.369538076500572,4.643875349286335,)","(6,28,4,6,)","(1.6666667777777852e-06,1.3333334222222282e-07,3.413333560888904e-06,2.4000001600000106e-06,)"
tpch_order_f64,119999992,8,14999999,"( (0,), (7,6,1,3,4,2,5,), )",-1,97267387,97267387,101038898,101038898,101038898,93908257,79755248,93912041,79756871,65361848,85329856,81855165,85331032,81856321,64358203,63526164,80148279,63563367,80156746,55619739,116840916,111086520,116838861,111086915,88474966,120007358,112482068,120007339,112481122,87187952,232033252,219242018,232033252,219242018,223945228,6.434744178665618,23.404651117806495,"(4.643855345365141,6.690585440565686,)","(6,6,)","(1.6666667777777852e-06,2.4380954006349315e-06,)"
tpch_order_f64,119999992,8,14999999,"( (2,7,6,), (4,0,3,5,1,), )",-1,95943309,95943309,101038898,101038898,101038898,93845281,79760152,93847178,79762835,65361848,83476841,81855928,83477283,81857482,64358203,64312280,80159596,64310462,80182858,55619739,116583460,111086005,116575233,111086955,88474966,119750841,112481141,119750913,112481122,87187952,235752084,219242018,235752084,219242018,223945228,6.3528074012326075,23.404651117806495,"(5.371565804703735,6.941552359149931,)","(2,7,)","(3.6444446874074235e-06,3.413333560888904e-06,)"
tpch_order_f64,119999992,8,14999999,"( (4,6,1,3,0,), (2,7,5,), )",-1,97435040,97435040,101038898,101038898,101038898,94082482,79745690,94083655,79748308,65361848,79406935,81853476,79407871,81851554,64358203,63399120,80143652,63429560,80162979,55619739,115276449,111086966,115277060,111085958,88474966,120007358,112481141,120007339,112482640,87187952,229790590,219242018,229790590,219242018,223945228,6.462834563470883,23.404651117806495,"(6.770689898940962,5.949742337687419,)","(9,2,)","(3.413333560888904e-06,5.6888892681481735e-06,)"
tpch_order_f64,119999992,8,14999999,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,94883858,94883858,101038898,101038898,101038898,76815249,79751594,76833159,79770526,65361848,78432313,81854314,78433832,81857091,64358203,67027122,80141677,67072009,80160334,55619739,113274773,111086188,113282913,111085556,88474966,120007352,112483402,120007312,112482640,87187952,237633022,219242018,237633022,219242018,223945228,6.2709374905219475,23.404651117806495,"(6.041557014632244,4.643855345365141,6.580347927363032,)","(5,6,5,)","(1.0133334008888935e-05,1.6666667777777852e-06,2.8444446340740867e-06,)"
tpch_order_f64,119999992,8,14999999,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,94134731,94134731,101038898,101038898,101038898,82812837,79748551,82812743,79751912,65361848,81803935,81852720,81804896,81854290,64358203,72420645,80157504,72470896,80160465,55619739,99365338,111085552,99365419,111085559,88474966,99105662,112482087,99105714,112482049,87187952,235708596,219242018,235708596,219242018,223945228,6.231102561330363,23.404651117806495,"(4.665119994458557,7.070643775712723,7.237390985280598,)","(2,5,4,)","(8.666667244444483e-07,8.53333390222226e-06,5.6888892681481735e-06,)"
tpch_order_f64,119999992,8,14999999,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,92515866,92515866,101038898,101038898,101038898,81256114,79746665,81263329,79760113,65361848,80246338,81851757,80247663,81854641,64358203,74804187,80140761,74806581,80138740,55619739,99400351,111085549,99402252,111085428,88474966,99125947,112482323,99126736,112482395,87187952,235786396,219242018,235786396,219242018,223945228,6.121637979780765,23.404651117806495,"(7.536911039152233,6.183430377839175,4.665169988370357,)","(4,5,2,)","(5.6888892681481735e-06,5.400000360000024e-06,1.11111118518519e-06,)"
tpch_order_f64,119999992,8,14999999,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,92157598,92157598,101038898,101038898,101038898,84725944,79742520,84737207,79754544,65361848,83176495,81852940,83176767,81853037,64358203,71190009,80155399,71205104,80159962,55619739,113158819,111087069,113273523,111086381,88474966,118476467,112482106,118476757,112482374,87187952,237002408,219242018,237002408,219242018,223945228,6.087350218282438,23.404651117806495,"(4.643855345365141,4.643875349286335,6.098674431390881,7.5081866630222525,)","(6,6,3,4,)","(1.6666667777777852e-06,2.4000001600000106e-06,4.26666695111113e-06,8.53333390222226e-06,)"
tpch_order_f64,119999992,8,14999999,"( (6,), (1,0,), (4,7,5,2,3,), )",-1,92724204,92724204,101038898,101038898,101038898,84183829,79739893,84220365,79766417,65361848,78900935,81850736,78903762,81852298,64358203,62241769,80134071,62248164,80142875,55619739,108232831,111086666,108201282,111084976,88474966,113725110,112481160,113726621,112483364,87187952,228701372,219242018,228701372,219242018,223945228,6.135438972766744,23.404651117806495,"(6.041557014632244,5.123774714131901,6.55888106784758,)","(5,10,4,)","(1.0133334008888935e-05,1.233333415555561e-06,3.413333560888904e-06,)"
tpch_order_f64,119999992,8,14999999,"( (4,), (0,6,2,), (3,7,5,1,), )",-1,94668880,94668880,101038898,101038898,101038898,93285844,79750724,93299619,79761012,65361848,87768794,81856664,87769520,81857113,64358203,64717163,80126224,64826964,80143127,55619739,119681572,111087662,119681972,111086172,88474966,120007377,112481160,120007339,112481130,87187952,237575242,219242018,237575242,219242018,223945228,6.275449508834628,23.404651117806495,"(7.997479698277009,6.187450791929043,5.910940999153221,)","(4,6,3,)","(1.706666780444452e-05,3.711111358518535e-06,4.26666695111113e-06,)"
tpch_order_f64,119999992,8,14999999,"( (2,3,), (0,6,5,), (4,), (1,7,), )",-1,88288772,88288772,101038898,101038898,101038898,81008219,79736738,81018019,79753202,65361848,80356997,81852693,80359205,81853144,64358203,73329990,80123658,73394544,80143353,55619739,100597297,111088218,100597955,111085948,88474966,107076928,112481122,107077577,112482395,87187952,232312950,219242018,232312950,219242018,223945228,5.8292684877171945,23.404651117806495,"(4.6438661646858455,7.2373858252584355,7.997479698277009,3.8183891991567713,)","(10,4,4,1,)","(1.2000000800000053e-06,5.6888892681481735e-06,1.706666780444452e-05,9.00000060000004e-07,)"
tpch_order_f64,119999992,8,14999999,"( (0,), (1,6,5,), (3,7,4,2,), )",-1,94439869,94439869,101038898,101038898,101038898,91339749,79747181,91354488,79757628,65361848,86716491,81856016,86717742,81855588,64358203,72904081,80139678,72980385,80160138,55619739,116935262,111088770,116925074,111086838,88474966,119999076,112481160,119999509,112481130,87187952,236912936,219242018,236912936,219242018,223945228,6.2456467068977055,23.404651117806495,"(4.643855345365141,7.237409862497245,5.902272180581193,)","(6,4,3,)","(1.6666667777777852e-06,5.6888892681481735e-06,4.26666695111113e-06,)"
tpch_order_f64,119999992,8,14999999,"( (2,5,), (6,0,), (1,4,), (7,3,), )",-1,91312138,91312138,101038898,101038898,101038898,90858412,79755446,90873006,79765417,65361848,90373522,81853504,90375501,81857635,64358203,80283810,80136532,80352427,80179255,55619739,112025861,111086264,112029510,111087626,88474966,113383516,112482106,113383278,112482640,87187952,239193014,219242018,239193014,219242018,223945228,6.039144159594918,23.404651117806495,"(7.084095722294762,6.1834372664576325,7.070644448509909,3.8183992011173684,)","(4,5,5,1,)","(8.53333390222226e-06,5.400000360000024e-06,8.53333390222226e-06,1.2666667511111168e-06,)"
tpch_order_f64,119999992,8,14999999,"( (3,7,6,), (0,4,1,), (5,2,), )",-1,95237997,95237997,101038898,101038898,101038898,93272948,79750581,93273922,79768609,65361848,89267855,81855644,89269224,81858274,64358203,69983132,80154314,69986480,80173052,55619739,117219603,111086788,117221612,111086808,88474966,119754006,112481160,119754059,112481122,87187952,238659480,219242018,238659480,219242018,223945228,6.313418961978547,23.404651117806495,"(5.371539080235208,6.74151433684441,7.084095722294762,)","(2,7,5,)","(3.711111358518535e-06,5.6888892681481735e-06,8.53333390222226e-06,)"
tpch_order_f64,119999992,8,14999999,"( (6,), (5,1,7,0,2,), (4,3,), )",-1,95110601,95110601,101038898,101038898,101038898,78297353,79751830,78325791,79755097,65361848,74601965,81853351,74603102,81856442,64358203,62332374,80159647,62349778,80187451,55619739,100418827,111085079,100418849,111085603,88474966,117707655,112482389,117708543,112481474,87187952,235263354,219242018,235263354,219242018,223945228,6.298796374705143,23.404651117806495,"(6.041557014632244,6.04150451066292,7.070645714847149,)","(5,4,5,)","(1.0133334008888935e-05,3.413333560888904e-06,8.53333390222226e-06,)"
tpch_order_f64,119999992,8,14999999,"( (6,3,), (0,1,5,7,2,), (4,), )",-1,95368862,95368862,101038898,101038898,101038898,82778485,79750023,82785569,79759059,65361848,84122736,81852137,84123280,81856301,64358203,63884704,80140589,63945557,80161284,55619739,115695580,111085574,115696521,111085516,88474966,119118620,112481512,119115465,112481130,87187952,235167816,219242018,235167816,219242018,223945228,6.321476117148171,23.404651117806495,"(6.183403342796878,6.04150451066292,7.997479698277009,)","(5,4,4,)","(5.500000366666691e-06,3.413333560888904e-06,1.706666780444452e-05,)"
