dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpcxbb_store_f64,789920920,8,98740115,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,564992845,564992845,598070552,598070552,598070552,446988746,485431199,446981619,485440586,338524987,465027129,498757177,465027950,498759195,321514856,367134143,468101630,367137533,468119890,240216640,633181384,700711432,633211371,700747772,481396742,660613132,711239109,660614419,711240369,471043743,1430454626,1355969546,1430454626,1355969546,1286742080,5.678474924682424,16.737580058802433,"(4.511938173731601,5.529142977301821,6.635073168609347,)","(21,24,10,)","(2.531899015916682e-07,5.185329184597364e-07,1.296332296149341e-06,)"
tpcxbb_store_f64,789920920,8,98740115,"( (6,2,1,5,0,3,), (4,7,), )",-1,568523507,568523507,598070552,598070552,598070552,406671972,485438078,406672086,485441839,338524987,418689656,498759731,418689949,498759304,321514856,317227218,468124483,317239404,468136830,240216640,607997908,700727069,607997189,700724417,481396742,622182267,711245312,622180049,711244164,471043743,1384141244,1355969546,1384141244,1355969546,1286742080,5.723623836415648,16.737580058802433,"(6.350806150739455,3.842076893444225,)","(30,9,)","(4.3211076538311374e-07,1.296332296149341e-06,)"
tpcxbb_store_f64,789920920,8,98740115,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,539978107,539978107,598070552,598070552,598070552,484695313,485431220,484706576,485443742,338524987,487156252,498755332,487159234,498758337,321514856,399837586,468108197,399870759,468136173,240216640,658964885,700760172,658957435,700739047,481396742,676971402,711241871,676968859,711244649,471043743,1305112558,1355969546,1305112558,1355969546,1286742080,5.384567358692986,16.737580058802433,"(4.511938173731601,0.8144765866184515,6.647637187092447,4.511938173731601,)","(21,50,25,21,)","(2.531899015916682e-07,5.0637980318333636e-08,5.185329184597364e-07,2.531899015916682e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (0,), (7,6,1,3,4,2,5,), )",-1,574998109,574998109,598070552,598070552,598070552,387264981,485427071,387278664,485422285,338524987,383173266,498755072,383174296,498757942,321514856,299480172,468061905,299474630,468065789,240216640,604589984,700745355,604593171,700749331,481396742,616763866,711237653,616763133,711238218,471043743,1325111164,1355969546,1325111164,1355969546,1286742080,5.788589946950744,16.737580058802433,"(4.511938173731601,5.970968771696335,)","(21,33,)","(2.531899015916682e-07,3.7038065604266887e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (2,7,6,), (4,0,3,5,1,), )",-1,572859257,572859257,598070552,598070552,598070552,437191584,485436337,437191796,485439540,338524987,426509268,498757789,426510188,498758180,321514856,313061413,468100719,313076387,468107942,240216640,666097310,700749900,666091951,700737029,481396742,671202718,711238056,671201639,711243169,471043743,1403516904,1355969546,1403516904,1355969546,1286742080,5.773274563031842,16.737580058802433,"(5.500869727044247,5.9367174646244,)","(13,60,)","(8.642215307662275e-07,5.185329184597364e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (4,6,1,3,0,), (2,7,5,), )",-1,574715731,574715731,598070552,598070552,598070552,422655156,485438162,422656734,485439836,338524987,432558073,498757733,432559158,498760465,321514856,314377473,468098279,314397760,468122699,240216640,648869388,700771486,648872796,700750459,481396742,702129589,711236567,702128289,711237217,471043743,1393983336,1355969546,1393983336,1355969546,1286742080,5.796284433023363,16.737580058802433,"(5.961634066143945,5.520701711155725,)","(25,14,)","(5.185329184597364e-07,8.642215307662275e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,568991261,568991261,598070552,598070552,598070552,366797031,485422066,366812783,485438472,338524987,360178335,498759097,360181072,498758527,321514856,296889276,468098000,296922673,468142602,240216640,520458156,700716686,520443619,700702867,481396742,540154902,711239215,540159588,711244176,471043743,1401814442,1355969546,1401814442,1355969546,1286742080,5.727490060018496,16.737580058802433,"(7.339509627507235,4.511938173731601,5.661412113151522,)","(5,21,29,)","(2.592664592298682e-06,2.531899015916682e-07,4.3211076538311374e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,549725484,549725484,598070552,598070552,598070552,438703460,485429056,438690042,485440588,338524987,426858197,498755958,426859688,498756975,321514856,368421123,468107293,368460682,468142316,240216640,574641747,700725968,574569761,700732378,481396742,607246480,711243930,607246324,711243309,471043743,1410794388,1355969546,1410794388,1355969546,1286742080,5.533848205653728,16.737580058802433,"(4.397142093642313,4.844164692719442,7.130343326287999,)","(14,32,15,)","(1.3841047953677862e-07,1.296332296149341e-06,8.642215307662275e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,561747767,561747767,598070552,598070552,598070552,471057463,485439809,470998455,485454652,338524987,454431730,498759083,454433014,498760837,321514856,380368603,468098493,380379268,468168826,240216640,621192802,700717935,621207836,700747296,481396742,634833827,711241279,634830909,711239910,471043743,1445791974,1355969546,1445791974,1355969546,1286742080,5.6462888195867365,16.737580058802433,"(6.237999148653394,6.632231956558953,4.3972830658719335,)","(36,10,14,)","(8.642215307662275e-07,1.296332296149341e-06,1.3841047953677862e-07,)"
tpcxbb_store_f64,789920920,8,98740115,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,539832195,539832195,598070552,598070552,598070552,415366566,485420335,415358025,485424528,338524987,418633638,498754820,418635357,498758900,321514856,372287634,468098650,372290033,468112781,240216640,580982186,700732277,580955868,700718466,481396742,579643682,711239863,579646992,711236408,471043743,1414042712,1355969546,1414042712,1355969546,1286742080,5.4314962113821785,16.737580058802433,"(4.511938173731601,4.511938173731601,4.78743595134404,7.639174769109035,)","(21,21,19,10,)","(2.531899015916682e-07,2.531899015916682e-07,6.481661480746705e-07,1.296332296149341e-06,)"
