dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpcxbb_web_f64,986782672,8,123347834,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,716337580,716337580,758387640,758387640,758387640,582591788,613657245,582599186,613683014,443779030,604128770,636829092,604129536,636830753,407729614,476553062,601617558,476592540,601679176,318514177,822344467,881481076,822345393,881478368,612955028,851752125,893579697,851752195,893579738,601151395,1815258204,1677164388,1815258204,1677164388,1648038754,5.758962821127831,17.641660326923695,"(4.552179115718155,5.627188111888804,6.691791446930235,)","(19,37,15,)","(2.0267887314502824e-07,4.1508633220101783e-07,1.0377158305025445e-06,)"
tpcxbb_web_f64,986782672,8,123347834,"( (6,2,1,5,0,3,), (4,7,), )",-1,720539501,720539501,758387640,758387640,758387640,531461035,613670449,531462695,613669872,443779030,550702643,636829556,550702653,636829160,407729614,413962511,601641572,413970717,601648494,318514177,793242896,881477195,793242546,881479397,612955028,812718200,893578635,812719396,893579610,601151395,1761685858,1677164388,1761685858,1677164388,1648038754,5.807507228576413,17.641660326923695,"(6.4307949868691665,3.9376439536981533,)","(44,15,)","(3.459052768341815e-07,1.0377158305025445e-06,)"
tpcxbb_web_f64,986782672,8,123347834,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,684434511,684434511,758387640,758387640,758387640,624834714,613666713,624831358,613680571,443779030,630654862,636826692,630658398,636829448,407729614,528891982,601697387,528937265,601726337,318514177,844433445,881481675,844432536,881481884,612955028,859524575,893579442,859526370,893579481,601151395,1636212178,1677164388,1636212178,1677164388,1648038754,5.448940318994508,17.641660326923695,"(4.552179115718155,0.644644694252772,6.768503925253395,4.552179115718155,)","(19,74,39,19,)","(2.0267887314502824e-07,4.053577462900565e-08,4.1508633220101783e-07,2.0267887314502824e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (0,), (7,6,1,3,4,2,5,), )",-1,728818451,728818451,758387640,758387640,758387640,496511841,613667120,496525743,613680939,443779030,497861188,636828052,497862589,636829729,407729614,389882359,601664627,389893757,601637915,318514177,771373671,881480502,771375280,881484985,612955028,800894034,893581958,800893651,893579585,601151395,1693687270,1677164388,1693687270,1677164388,1648038754,5.8683985895226245,17.641660326923695,"(4.552179115718155,6.0564299429232635,)","(19,50,)","(2.0267887314502824e-07,2.964902372864413e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (2,7,6,), (4,0,3,5,1,), )",-1,725907807,725907807,758387640,758387640,758387640,567410309,613680869,567447516,613698272,443779030,550271032,636830586,550271448,636830507,407729614,406962535,601657539,406978069,601690925,318514177,860101136,881479495,860074773,881481416,612955028,869697881,893581262,869697593,893581290,601151395,1787342254,1677164388,1787342254,1677164388,1648038754,5.857571103191848,17.641660326923695,"(5.499309350216845,6.072528154976849,)","(22,60,)","(6.91810553668363e-07,4.1508633220101783e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (4,6,1,3,0,), (2,7,5,), )",-1,728313057,728313057,758387640,758387640,758387640,545295814,613671351,545296977,613676523,443779030,554424759,636829913,554425994,636831019,407729614,404794299,601654711,404808345,601672640,318514177,831743176,881480893,831744419,881479682,612955028,895655140,893581982,895654335,893582506,601151395,1770765532,1677164388,1770765532,1677164388,1648038754,5.8782227008702055,17.641660326923695,"(6.0711384605704355,5.556696434703157,)","(39,22,)","(4.1508633220101783e-07,6.91810553668363e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,721386215,721386215,758387640,758387640,758387640,472055551,613659940,472063060,613670211,443779030,468466426,636829899,468468785,636830297,407729614,388872190,601634828,388886064,601687313,318514177,667163443,881484623,667158386,881483848,612955028,692009176,893583880,692009157,893579229,601151395,1775228046,1677164388,1775228046,1677164388,1648038754,5.809625238033008,17.641660326923695,"(7.386403872541214,4.552179115718155,5.756403152667449,)","(7,19,47,)","(2.075431661005089e-06,2.0267887314502824e-07,3.459052768341815e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,697248429,697248429,758387640,758387640,758387640,563217337,613665330,563205130,613669189,443779030,547374467,636828504,547375948,636828671,407729614,480100275,601632783,480145685,601666579,318514177,725588562,881483713,725593389,881483037,612955028,767561945,893580113,767562589,893580793,601151395,1790642698,1677164388,1790642698,1677164388,1648038754,5.618230314464702,17.641660326923695,"(4.3886635523627655,5.059522137864957,7.220269194299802,)","(23,33,23,)","(1.1079778398594876e-07,1.0377158305025445e-06,6.91810553668363e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,711736287,711736287,758387640,758387640,758387640,603565321,613655419,603598452,613685318,443779030,583546045,636828705,583546561,636830893,407729614,498501495,601664033,498520284,601720850,318514177,780405959,881480613,780409697,881484920,612955028,798222684,893580219,798226869,893581264,601151395,1833027760,1677164388,1833027760,1677164388,1648038754,5.721332764417513,17.641660326923695,"(6.409085188199294,6.688542733400446,4.388773694647107,)","(36,15,23,)","(6.91810553668363e-07,1.0377158305025445e-06,1.1079778398594876e-07,)"
tpcxbb_web_f64,986782672,8,123347834,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,684014608,684014608,758387640,758387640,758387640,529527343,613650014,529525675,613666123,443779030,536252818,636827031,536254066,636827803,407729614,478599164,601599110,478620008,601681868,318514177,736158682,881484421,736156165,881484606,612955028,732242533,893577391,732244092,893579053,601151395,1793024082,1677164388,1793024082,1677164388,1648038754,5.507722857869322,17.641660326923695,"(4.552179115718155,4.552179115718155,4.883577267467982,7.711557780823165,)","(19,19,31,15,)","(2.0267887314502824e-07,2.0267887314502824e-07,5.188579152512723e-07,1.0377158305025445e-06,)"
