dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
ts_gas_f32,307452796,4,76863199,"( (1,), (0,3,), (2,), )",-1,267568558,267568558,280524008,280524008,280524008,172158307,163384066,172148191,163373512,114959253,168643545,155685196,168644971,155682462,110951890,128436254,128641542,128435706,128669579,73930368,216263169,183809214,216294574,183815357,170396451,219059475,184545849,219060223,184620243,180723522,524216708,352571308,524216708,352571308,606635448,6.933819928814233,13.946521816014164,"(7.783078353578832,6.103264509166456,7.745672343345188,)","(8786,5892,33940,)","(3.3305925765592972e-06,1.6652962882796486e-06,3.3305925765592972e-06,)"
ts_gas_f32,307452796,4,76863199,"( (1,), (0,2,3,), )",-1,275791836,275791836,280524008,280524008,280524008,149382712,163359959,149370594,163384538,114959253,149212391,155683073,149214765,155681399,110951890,107913302,128673141,108041440,128704338,73930368,204256535,183815656,204250461,183825035,170396451,201819856,184617690,201820664,184602099,180723522,575310504,352571308,575310504,352571308,606635448,7.141024960655157,13.946521816014164,"(7.783078353578832,6.927007163013932,)","(8786,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (3,), (1,2,0,), )",-1,254084375,254084375,280524008,280524008,280524008,115738081,163375648,115736385,163390082,114959253,114100887,155675222,114100278,155683579,110951890,82119216,128662899,82137688,128689515,73930368,166306603,183806858,166303629,183811695,170396451,166778524,184538555,166777376,184538836,180723522,464975454,352571308,464975454,352571308,606635448,6.579426510909404,13.946521816014164,"(2.6907941899047594,7.875637284577619,)","(3843160,8838,)","(1.8214178153058656e-07,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (1,0,2,), (3,), )",-1,254084375,254084375,280524008,280524008,280524008,115486091,163393109,115477518,163384538,114959253,112581646,155682334,112582535,155681399,110951890,78144838,128706212,78147318,128704338,73930368,165186992,183810483,165201538,183825035,170396451,165616144,184539126,165679113,184602099,180723522,464909556,352571308,464909556,352571308,606635448,6.579426510909404,13.946521816014164,"(7.8756372845776195,2.6907941899047594,)","(8838,3843160,)","(1.1101975255197657e-06,1.8214178153058656e-07,)"
ts_gas_f32,307452796,4,76863199,"( (1,0,), (3,2,), )",-1,269407758,269407758,280524008,280524008,280524008,150191282,163372890,150189609,163373512,114959253,144741089,155679939,144740195,155682462,110951890,93097538,128664479,93102506,128669579,73930368,195717352,183807929,195719969,183815357,170396451,200745183,184539271,200744867,184620243,180723522,604150678,352571308,604150678,352571308,606635448,6.98164391874621,13.946521816014164,"(7.842292208536221,6.1209956289562,)","(17572,5892,)","(1.6652962882796486e-06,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,1,3,), (2,), )",-1,274782887,274782887,280524008,280524008,280524008,144217621,163378939,144206704,163366471,114959253,142646681,155683853,142644410,155681200,110951890,92590107,128661896,92597106,128666021,73930368,201495317,183817046,201495148,183817040,170396451,202798255,184616714,202798610,184617068,180723522,555768932,352571308,555768932,352571308,606635448,7.116474314262353,13.946521816014164,"(6.906741637901408,7.745672343345188,)","(8838,33940,)","(1.1101975255197657e-06,3.3305925765592972e-06,)"
ts_gas_f32,307452796,4,76863199,"( (2,1,0,), (3,), )",-1,254084375,254084375,280524008,280524008,280524008,116467485,163396913,116458913,163388288,114959253,114685969,155678682,114688484,155677675,110951890,72592712,128699425,72595014,128698525,73930368,165395390,183808339,165409936,183822888,170396451,165897539,184537861,165960508,184600834,180723522,464834292,352571308,464834292,352571308,606635448,6.579426510909404,13.946521816014164,"(7.875637284577619,2.6907941899047594,)","(8838,3843160,)","(1.1101975255197657e-06,1.8214178153058656e-07,)"
ts_gas_f32,307452796,4,76863199,"( (0,), (2,), (1,3,), )",-1,267336756,267336756,280524008,280524008,280524008,171899696,163384066,171873679,163352491,114959253,168264498,155684689,168262949,155685398,110951890,128682442,128640441,128717772,128680458,73930368,214739629,183809214,214768046,183819296,170396451,217882897,184545849,217878740,184598146,180723522,528720502,352571308,528720502,352571308,606635448,6.92798708522327,13.946521816014164,"(7.756909664343233,7.745672343345188,6.10468316660233,)","(8786,33940,5892,)","(3.3305925765592972e-06,3.3305925765592972e-06,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (1,), (0,3,2,), )",-1,275791836,275791836,280524008,280524008,280524008,151409635,163385078,151399784,163373512,114959253,151356363,155685868,151358161,155682462,110951890,111243094,128650131,111379477,128669579,73930368,208679928,183809694,208671331,183815357,170396451,206958712,184545284,206962396,184620243,180723522,575268122,352571308,575268122,352571308,606635448,7.141024960655157,13.946521816014164,"(7.783078353578832,6.927007163013932,)","(8786,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (3,0,1,), (2,), )",-1,274782887,274782887,280524008,280524008,280524008,145154402,163384326,145143583,163373137,114959253,143324361,155676333,143322878,155672899,110951890,92733237,128643970,92740055,128663019,73930368,201736392,183804341,201736223,183804084,170396451,203487290,184537277,203487648,184537471,180723522,555778962,352571308,555778962,352571308,606635448,7.116474314262353,13.946521816014164,"(6.906741637901408,7.745672343345188,)","(8838,33940,)","(1.1101975255197657e-06,3.3305925765592972e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,), (1,2,), (3,), )",-1,252216311,252216311,280524008,280524008,280524008,150252729,163365816,150203419,163377441,114959253,141736116,155679683,141739928,155680143,110951890,109702476,128644925,109817151,128705699,73930368,180594557,183810543,180568527,183826717,170396451,186307712,184537308,186365395,184598744,180723522,437621670,352571308,437621670,352571308,606635448,6.531627655394096,13.946521816014164,"(7.756909664343233,7.8394033836641945,2.6907941899047594,)","(8786,5892,3843160,)","(3.3305925765592972e-06,1.6652962882796486e-06,1.8214178153058656e-07,)"
ts_gas_f32,307452796,4,76863199,"( (2,), (1,0,3,), )",-1,274782887,274782887,280524008,280524008,280524008,144251136,163385980,144261699,163388288,114959253,142566396,155685123,142572727,155677675,110951890,92582394,128664198,92674093,128698525,73930368,201495831,183815363,201495793,183822888,170396451,202848906,184619889,202851011,184600834,180723522,555781446,352571308,555781446,352571308,606635448,7.116474314262353,13.946521816014164,"(7.745672343345188,6.906741637901408,)","(33940,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (1,), (2,3,0,), )",-1,275791836,275791836,280524008,280524008,280524008,152516547,163390074,152496767,163361374,114959253,151578194,155684246,151579041,155683229,110951890,107067937,128641857,107204535,128637607,73930368,209213384,183805533,209212312,183815177,170396451,207695587,184547103,207696129,184620564,180723522,575279256,352571308,575279256,352571308,606635448,7.141024960655157,13.946521816014164,"(7.783078353578832,6.927007163013932,)","(8786,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (2,1,), (3,0,), )",-1,269055718,269055718,280524008,280524008,280524008,159696424,163394681,159695965,163384350,114959253,155159055,155675997,155160913,155686462,110951890,104707274,128682777,104706677,128667099,73930368,213798395,183809014,213801209,183816582,170396451,221454019,184538338,221455666,184619835,180723522,609289286,352571308,609289286,352571308,606635448,6.971333946415324,13.946521816014164,"(7.8394033836641945,6.103264509166455,)","(5892,5892,)","(1.6652962882796486e-06,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (2,3,0,1,), )",-1,280524008,280524008,280524008,280524008,280524008,118931709,163385411,118931709,163385411,114959253,113705138,155684866,113705138,155684866,110951890,73085403,128641840,73085403,128641840,73930368,175981689,183807395,175981689,183807395,170396451,192564694,184543780,192564694,184543780,180723522,606679596,352571308,606679596,352571308,606635448,7.2650011142408735,13.946521816014164,"(7.2650011142408735,)","(11784,)","(8.326481441398243e-07,)"
ts_gas_f32,307452796,4,76863199,"( (0,), (1,2,3,), )",-1,275105782,275105782,280524008,280524008,280524008,146617179,163359861,146688631,163377441,114959253,147597479,155681662,147594037,155680143,110951890,107294209,128641351,107441099,128705699,73930368,203316451,183815656,203313000,183826717,170396451,201239294,184617510,201239482,184598744,180723522,579587172,352571308,579587172,352571308,606635448,7.125578142156789,13.946521816014164,"(7.756909664343233,6.915134301427975,)","(8786,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (3,1,2,0,), )",-1,280524008,280524008,280524008,280524008,280524008,116215649,163390082,116215649,163390082,114959253,115207418,155683579,115207418,155683579,110951890,78247944,128689515,78247944,128689515,73930368,172193159,183811695,172193159,183811695,170396451,184840036,184538836,184840036,184538836,180723522,609493818,352571308,609493818,352571308,606635448,7.2650011142408735,13.946521816014164,"(7.2650011142408735,)","(11784,)","(8.326481441398243e-07,)"
ts_gas_f32,307452796,4,76863199,"( (1,3,), (2,0,), )",-1,269142874,269142874,280524008,280524008,280524008,161430882,163391183,161446786,163387674,114959253,155899969,155680349,155902770,155682979,110951890,106379893,128638127,106384250,128655853,73930368,212317180,183806276,212300870,183809214,170396451,219847486,184547601,219842840,184548331,180723522,609658474,352571308,609658474,352571308,606635448,6.975647443937541,13.946521816014164,"(6.10468316660233,7.846611721272754,)","(5892,5892,)","(1.6652962882796486e-06,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (3,0,1,2,), )",-1,280524008,280524008,280524008,280524008,280524008,115645657,163373137,115645657,163373137,114959253,112287195,155672899,112287195,155672899,110951890,73864102,128663019,73864102,128663019,73930368,171239278,183804084,171239278,183804084,170396451,181017927,184537471,181017927,184537471,180723522,606657486,352571308,606657486,352571308,606635448,7.2650011142408735,13.946521816014164,"(7.2650011142408735,)","(11784,)","(8.326481441398243e-07,)"
ts_gas_f32,307452796,4,76863199,"( (1,2,), (3,0,), )",-1,269055718,269055718,280524008,280524008,280524008,159408268,163371708,159407891,163361374,114959253,154891734,155672588,154891361,155683229,110951890,109735580,128654236,109735407,128637607,73930368,213491776,183807606,213494590,183815177,170396451,221202418,184539067,221204051,184620564,180723522,609289154,352571308,609289154,352571308,606635448,6.971333946415324,13.946521816014164,"(7.8394033836641945,6.103264509166455,)","(5892,5892,)","(1.6652962882796486e-06,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,), (1,), (2,), (3,), )",-1,250729151,250729151,280524008,280524008,280524008,163384728,163384728,163377441,163377441,114959253,155683257,155683257,155680143,155680143,110951890,128643282,128643282,128705699,128705699,73930368,183813118,183813118,183826717,183826717,170396451,184537900,184537900,184598744,184598744,180723522,352571308,352571308,352571308,352571308,606635448,6.494113637793004,13.946521816014164,"(7.756909664343233,7.783078353578832,7.745672343345188,2.6907941899047594,)","(8786,8786,33940,3843160,)","(3.3305925765592972e-06,3.3305925765592972e-06,3.3305925765592972e-06,1.8214178153058656e-07,)"
ts_gas_f32,307452796,4,76863199,"( (0,), (3,), (2,1,), )",-1,252216311,252216311,280524008,280524008,280524008,150540885,163388789,150569291,163380768,114959253,142003437,155683092,142005235,155686334,110951890,104674170,128673466,104662290,128648639,73930368,180901176,183811951,180869219,183811559,170396451,186559313,184536579,186514536,184542050,180723522,437621802,352571308,437621802,352571308,606635448,6.531627655394095,13.946521816014164,"(7.756909664343233,2.6907941899047594,7.8394033836641945,)","(8786,3843160,5892,)","(3.3305925765592972e-06,1.8214178153058656e-07,1.6652962882796486e-06,)"
ts_gas_f32,307452796,4,76863199,"( (1,), (3,0,2,), )",-1,275791836,275791836,280524008,280524008,280524008,150167438,163391794,150161177,163378944,114959253,149702126,155676770,149701936,155673047,110951890,107983865,128673769,108125114,128641661,73930368,204527998,183810411,204526405,183805267,170396451,202639457,184539098,202637150,184547461,180723522,575332542,352571308,575332542,352571308,606635448,7.141024960655157,13.946521816014164,"(7.783078353578832,6.927007163013932,)","(8786,8838,)","(3.3305925765592972e-06,1.1101975255197657e-06,)"
ts_gas_f32,307452796,4,76863199,"( (0,2,1,), (3,), )",-1,254084375,254084375,280524008,280524008,280524008,115707549,163361057,115698976,163352491,114959253,114354606,155686423,114356100,155685398,110951890,81733379,128682246,81735341,128680458,73930368,166298799,183804747,166313345,183819296,170396451,166751975,184535173,166814944,184598146,180723522,464954612,352571308,464954612,352571308,606635448,6.579426510909404,13.946521816014164,"(7.8756372845776195,2.6907941899047594,)","(8838,3843160,)","(1.1101975255197657e-06,1.8214178153058656e-07,)"
ts_gas_f32,307452796,4,76863199,"( (2,1,0,3,), )",-1,280524008,280524008,280524008,280524008,280524008,116286976,163388288,116286976,163388288,114959253,115339983,155677675,115339983,155677675,110951890,68842550,128698525,68842550,128698525,73930368,171187993,183822888,171187993,183822888,170396451,181530471,184600834,181530471,184600834,180723522,606658308,352571308,606658308,352571308,606635448,7.2650011142408735,13.946521816014164,"(7.2650011142408735,)","(11784,)","(8.326481441398243e-07,)"
ts_gas_f32,307452796,4,76863199,"( (0,2,3,1,), )",-1,280524008,280524008,280524008,280524008,280524008,122462172,163353472,122462172,163353472,114959253,114656279,155684723,114656279,155684723,110951890,86268485,128663402,86268485,128663402,73930368,177849338,183817522,177849338,183817522,170396451,198329982,184614385,198329982,184614385,180723522,606951612,352571308,606951612,352571308,606635448,7.265001114240874,13.946521816014164,"(7.265001114240874,)","(11784,)","(8.326481441398243e-07,)"
