dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
turbulence_f32,67108860,4,16777215,"( (1,), (0,3,), (2,), )",-1,58992018,58992018,61481325,61481325,61481325,58707999,53597603,58707020,53599372,61426519,58695719,52977238,58696715,52978071,61472055,52723748,52005887,52747095,52014043,62906125,67124460,55991408,67124371,55991627,67111957,67113013,57142380,67112975,57141643,67112975,133531450,108155998,133531450,108155998,133697752,7.004331791814824,23.73246075605471,"(7.999987233166886,6.023089592686171,7.971160748720068,)","(3,7,9,)","(1.5258789971994756e-05,7.629394985997378e-06,1.5258789971994756e-05,)"
turbulence_f32,67108860,4,16777215,"( (1,), (0,2,3,), )",-1,60399935,60399935,61481325,61481325,61481325,60371125,53599362,60371098,53596705,61426519,60449966,52977023,60450387,52976713,61472055,56646631,52022918,56712455,52016109,62906125,67113145,55991639,67113037,55991428,67111957,67112994,57141664,67112975,57142708,67112975,133697922,108155998,133697922,108155998,133697752,7.170256611729981,23.73246075605471,"(7.999987233166886,6.8936797379176795,)","(3,5,)","(1.5258789971994756e-05,5.086263323998252e-06,)"
turbulence_f32,67108860,4,16777215,"( (3,), (1,2,0,), )",-1,55152770,55152770,61481325,61481325,61481325,53597048,53597048,53597054,53597054,61426519,52975308,52975293,52977005,52976993,61472055,52972312,52024681,52980378,52021298,62906125,55991607,55991623,55991605,55991615,67111957,57143994,57143994,57143975,57143975,67112975,108319276,108155998,108319276,108155998,133697752,6.550450959245596,23.73246075605471,"(2.211579276131084,7.996741520283767,)","(90,4,)","(8.940697249215677e-07,5.086263323998252e-06,)"
turbulence_f32,67108860,4,16777215,"( (1,0,2,), (3,), )",-1,55152770,55152770,61481325,61481325,61481325,53597048,53597048,53596705,53596705,61426519,52975308,52975293,52977185,52976713,61472055,52972538,52012214,52974630,52016109,62906125,55991607,55991617,55991418,55991428,67111957,57143994,57143994,57142708,57142708,67112975,108318088,108155998,108318088,108155998,133697752,6.550450959245596,23.73246075605471,"(7.996741520283767,2.211579276131084,)","(4,90,)","(5.086263323998252e-06,8.940697249215677e-07,)"
turbulence_f32,67108860,4,16777215,"( (1,0,), (3,2,), )",-1,58957675,58957675,61481325,61481325,61481325,57912066,53597066,57912087,53599372,61426519,58303552,52976944,58303692,52978071,61472055,51632062,52004189,51644921,52014043,62906125,66995015,55991623,66994820,55991627,67111957,67112994,57143994,67112975,57141643,67112975,133702846,108155998,133702846,108155998,133697752,7.005248790353795,23.73246075605471,"(7.999993455455316,6.0105041252522735,)","(3,11,)","(7.629394985997378e-06,7.629394985997378e-06,)"
turbulence_f32,67108860,4,16777215,"( (0,1,3,), (2,), )",-1,60538573,60538573,61481325,61481325,61481325,60461622,53599362,60461612,53599372,61426519,60513548,52976240,60513848,52978064,61472055,55756908,52005583,55801401,52014832,62906125,67112977,55991639,67112965,55991627,67111957,67112994,57141664,67112975,57141643,67112975,133532686,108155998,133532686,108155998,133697752,7.1659011990841375,23.73246075605471,"(6.897481349205495,7.971160748720068,)","(5,9,)","(5.086263323998252e-06,1.5258789971994756e-05,)"
turbulence_f32,67108860,4,16777215,"( (2,1,0,), (3,), )",-1,55152770,55152770,61481325,61481325,61481325,53597048,53597048,53596705,53596705,61426519,52975308,52975293,52977184,52976710,61472055,52968091,52013976,52970848,52016664,62906125,55991607,55991623,55991418,55991434,67111957,57143994,57143994,57142708,57142708,67112975,108317494,108155998,108317494,108155998,133697752,6.5504509592455955,23.73246075605471,"(7.996741520283766,2.211579276131084,)","(4,90,)","(5.086263323998252e-06,8.940697249215677e-07,)"
turbulence_f32,67108860,4,16777215,"( (0,), (2,), (1,3,), )",-1,58991591,58991591,61481325,61481325,61481325,58705110,53597603,58705001,53596705,61426519,58694779,52977257,58694946,52976704,61472055,52727168,52005777,52753049,52029127,62906125,67123442,55991408,67123876,55991435,67111957,67113013,57142380,67112975,57142708,67112975,133532740,108155998,133532740,108155998,133697752,7.004274980536798,23.73246075605471,"(7.999988028429771,7.971160748720068,6.022975572498677,)","(4,9,5,)","(1.5258789971994756e-05,1.5258789971994756e-05,7.629394985997378e-06,)"
turbulence_f32,67108860,4,16777215,"( (1,), (0,3,2,), )",-1,60399935,60399935,61481325,61481325,61481325,60371102,53597610,60371089,53599372,61426519,60449433,52978452,60449856,52978071,61472055,56449840,52008682,56515726,52014043,62906125,67113092,55991398,67113149,55991627,67111957,67112994,57142357,67112975,57141643,67112975,133697278,108155998,133697278,108155998,133697752,7.170256611729979,23.73246075605471,"(7.999987233166886,6.893679737917678,)","(3,5,)","(1.5258789971994756e-05,5.086263323998252e-06,)"
turbulence_f32,67108860,4,16777215,"( (3,0,1,), (2,), )",-1,60538573,60538573,61481325,61481325,61481325,60461692,53597065,60461683,53597055,61426519,60513478,52976999,60513799,52976988,61472055,55758231,52001380,55802552,52016558,62906125,67112947,55991624,67112935,55991612,67111957,67112994,57143994,67112975,57143975,67112975,133532480,108155998,133532480,108155998,133697752,7.165901199084139,23.73246075605471,"(6.897481349205496,7.971160748720068,)","(5,9,)","(5.086263323998252e-06,1.5258789971994756e-05,)"
