dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
wave_f32,536870908,4,134217727,"( (1,), (0,3,), (2,), )",-1,493166659,493166659,510226543,510226543,510226543,355408329,302185693,355401890,302179562,428316631,379970141,313551312,379971402,313554445,465081739,277186783,270808376,277246610,270841140,422355489,493461880,369770012,493524306,369769090,530592918,466500849,345738303,466499472,344934905,520490084,1041003768,780095044,1041003768,780095044,1069605112,7.334301361032225,25.266672744409803,"(7.999992890121259,6.68007113595215,7.977070282103345,)","(30,11,142,)","(1.9073486470233547e-06,9.536743235116774e-07,1.9073486470233547e-06,)"
wave_f32,536870908,4,134217727,"( (1,), (0,2,3,), )",-1,503856352,503856352,510226543,510226543,510226543,448195593,302207125,448320625,302160357,428316631,463940324,313555461,463942316,313551439,465081739,411674170,270824367,411634963,270829664,422355489,533085564,369775489,532922534,369774199,530592918,513545807,345746307,513528955,344911880,520490084,1069585998,780095044,1069585998,780095044,1069605112,7.472252396823126,25.266672744409803,"(7.999992890121259,7.296338899057081,)","(30,6,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (3,), (1,2,0,), )",-1,466013219,466013219,510226543,510226543,510226543,384390983,302069125,391853486,301842638,428316631,382507445,313553866,382507372,313553881,465081739,374973790,270847834,374836956,270890916,422355489,412779811,369755052,412779932,369752035,530592918,399695881,345618792,399623518,344324577,520490084,808641808,780095044,808641808,780095044,1069605112,6.934607199119921,25.266672744409803,"(3.746248389675856,7.99739346893461,)","(314,5,)","(2.831220647925292e-07,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (1,0,2,), (3,), )",-1,466013219,466013219,510226543,510226543,510226543,384044114,302138294,384074094,302160357,428316631,381341484,313551323,381342687,313551439,465081739,371072505,270827768,371081108,270829664,422355489,412793024,369752122,412815101,369774199,530592918,399701019,344853291,399759608,344911880,520490084,808638456,780095044,808638456,780095044,1069605112,6.934607199119922,25.266672744409803,"(7.997393468934611,3.746248389675856,)","(5,314,)","(6.357828823411182e-07,2.831220647925292e-07,)"
wave_f32,536870908,4,134217727,"( (1,0,), (3,2,), )",-1,493310594,493310594,510226543,510226543,510226543,318391899,302125751,318399449,302179562,428316631,350890037,313549652,350888750,313554445,465081739,291880756,270824706,291923106,270841140,422355489,420491387,369755061,420497439,369769090,530592918,389118493,344852166,389128852,344934905,520490084,1069666948,780095044,1069666948,780095044,1069605112,7.336931758450762,25.266672744409803,"(7.99999719826996,6.673866318631564,)","(5,99,)","(9.536743235116774e-07,9.536743235116774e-07,)"
wave_f32,536870908,4,134217727,"( (0,1,3,), (2,), )",-1,504831758,504831758,510226543,510226543,510226543,374664312,301878710,374661448,301889012,428316631,396766698,313550635,396769087,313553915,465081739,325800258,270809207,325836666,270843567,422355489,493135257,369765776,493138486,369769006,530592918,475994480,345293747,475996937,345296179,520490084,1041022444,780095044,1041022444,780095044,1069605112,7.467356415974957,25.266672744409803,"(7.2974517939321615,7.977070282103345,)","(5,142,)","(6.357828823411182e-07,1.9073486470233547e-06,)"
wave_f32,536870908,4,134217727,"( (2,1,0,), (3,), )",-1,466013219,466013219,510226543,510226543,510226543,384479190,301677172,384509170,301707152,428316631,382448941,313549730,382450709,313549878,465081739,352475450,270832229,352483594,270837370,422355489,412789661,369745339,412811738,369767416,530592918,399643482,345166234,399702071,345224823,520490084,808635752,780095044,808635752,780095044,1069605112,6.934607199119921,25.266672744409803,"(7.99739346893461,3.746248389675856,)","(5,314,)","(6.357828823411182e-07,2.831220647925292e-07,)"
wave_f32,536870908,4,134217727,"( (0,), (2,), (1,3,), )",-1,493166481,493166481,510226543,510226543,510226543,358348022,302185693,358344109,301784721,428316631,379667528,313551395,379672960,313553848,465081739,276328650,270807949,276377994,270856412,422355489,492977630,369770012,492978642,369777114,530592918,466918359,345738303,466892409,345749066,520490084,1041022302,780095044,1041022302,780095044,1069605112,7.334287012941118,25.266672744409803,"(7.999996000798464,7.977070282103345,6.680040884431332,)","(9,142,32,)","(1.9073486470233547e-06,1.9073486470233547e-06,9.536743235116774e-07,)"
wave_f32,536870908,4,134217727,"( (1,), (0,3,2,), )",-1,503856352,503856352,510226543,510226543,510226543,448013352,302193210,448419361,302179562,428316631,464859705,313556130,464857767,313554445,465081739,429169671,270841859,429174791,270841140,422355489,535248691,369776708,535272554,369769090,530592918,513548118,345740090,513571377,344934905,520490084,1069585774,780095044,1069585774,780095044,1069605112,7.472252396823126,25.266672744409803,"(7.999992890121259,7.296338899057081,)","(30,7,)","(1.9073486470233547e-06,6.357828823411182e-07,)"
wave_f32,536870908,4,134217727,"( (3,0,1,), (2,), )",-1,504831758,504831758,510226543,510226543,510226543,376090960,301747099,376088095,301753750,428316631,396862828,313549222,396866373,313551114,465081739,325485774,270829064,325521485,270882408,422355489,493053848,369745409,493057077,369748638,530592918,475875125,344876642,475877582,344879096,520490084,1041023516,780095044,1041023516,780095044,1069605112,7.467356415974957,25.266672744409803,"(7.2974517939321615,7.977070282103345,)","(5,142,)","(6.357828823411182e-07,1.9073486470233547e-06,)"
