dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
wesad_chest_f64,272339192,8,34042399,"( (3,), (7,1,5,2,4,), (6,0,), )",-1,152246446,152246446,159273316,159273316,159273316,98192506,96557971,98189780,96562437,84180779,94021433,88325587,94022486,88328876,80756185,67032094,84372282,67034112,84410936,50639110,146073854,134465144,146087021,134465040,126257107,151311702,143214382,151308301,143213489,126263818,485527454,328587768,485527454,328587768,339843108,4.416501783561302,13.858620496208305,"(1.7689081860359908,4.690104843795381,5.056290931738761,)","(29,9,5,)","(4.700021288158922e-07,1.5040068122108551e-06,3.7159543309506477e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (6,2,1,5,0,3,), (4,7,), )",-1,148773170,148773170,159273316,159273316,159273316,102005039,96550398,102007586,96554338,84180779,100438743,88328391,100439273,88328320,80756185,69203208,84361979,69220420,84402267,50639110,162270844,134464683,162279856,134467236,126257107,158813638,143209361,158815126,143208871,126263818,423002566,328587768,423002566,328587768,339843108,4.343659732761047,13.858620496208305,"(4.201115819532288,4.771291472447322,)","(11,6,)","(1.2533390101757125e-06,3.7600170305271376e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (1,), (7,), (2,5,6,4,0,), (3,), )",-1,139652814,139652814,159273316,159273316,159273316,82291105,96557771,82292426,96564128,84180779,80606960,88322784,80611183,88321091,80756185,57231418,84437847,57225632,84437891,50639110,128136805,134472299,128143044,134463542,126257107,134272016,143210624,134271297,143213904,126263818,365787656,328587768,365787656,328587768,339843108,3.963705796674456,13.858620496208305,"(0.6826621138609368,1.6064340391186143,5.530328406876022,1.7689081860359908,)","(86,7,9,29,)","(1.7625079830595957e-07,1.4687566525496631e-07,1.5040068122108551e-06,4.700021288158922e-07,)"
wesad_chest_f64,272339192,8,34042399,"( (0,), (7,6,1,3,4,2,5,), )",-1,156752047,156752047,159273316,159273316,159273316,90761405,96568141,90765799,96567053,84180779,87546337,88330916,87546958,88331046,80756185,51784495,84360726,51755939,84409656,50639110,141483043,134474634,141494165,134467853,126257107,139948841,143209116,139950310,143210523,126263818,403359696,328587768,403359696,328587768,339843108,4.5080240269808005,13.858620496208305,"(1.2159144636588568,4.97832539316965,)","(86,12,)","(2.115009579671515e-06,1.0742905801506107e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (2,7,6,), (4,0,3,5,1,), )",-1,150347274,150347274,159273316,159273316,159273316,90002768,96554312,90003731,96562564,84180779,86659330,88330082,86659449,88330473,80756185,63421450,84375303,63512629,84416937,50639110,138740297,134467237,138737908,134471849,126257107,141889629,143212300,141889286,143207513,126263818,457912220,328587768,457912220,328587768,339843108,4.396225877405696,13.858620496208305,"(4.546363941342101,4.306143039043854,)","(4,16,)","(2.477302887300432e-06,1.5040068122108551e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (4,6,1,3,0,), (2,7,5,), )",-1,152885897,152885897,159273316,159273316,159273316,104285764,96553393,104286093,96557801,84180779,101441368,88325121,101442027,88327195,80756185,74034486,84396036,74030362,84398389,50639110,157141347,134472250,157138988,134471764,126257107,158660529,143208201,158660087,143208441,126263818,424498382,328587768,424498382,328587768,339843108,4.473430035377239,13.858620496208305,"(4.229710894629875,4.879628603289513,)","(9,5,)","(1.5040068122108551e-06,2.506678020351425e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (6,), (2,), (5,3,4,0,7,1,), )",-1,149065733,149065733,159273316,159273316,159273316,86672627,96556635,86678893,96560508,84180779,82776276,88324547,82780232,88326376,80756185,63568651,84385477,63583887,84394271,50639110,135601636,134463854,135596198,134467048,126257107,143007088,143211938,143008303,143211778,126263818,455528550,328587768,455528550,328587768,339843108,4.2951006205101185,13.858620496208305,"(7.1003892972119855,0.6808157675872677,4.429933316546949,)","(3,86,11,)","(7.4319086619012955e-06,5.8750266101986524e-08,1.2533390101757125e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (7,1,0,), (2,4,), (5,6,3,), )",-1,144559758,144559758,159273316,159273316,159273316,104335746,96575590,104332586,96572595,84180779,97396653,88321739,97398378,88326066,80756185,72963990,84410051,72986975,84451235,50639110,150192112,134473093,150189474,134470807,126257107,155407548,143213849,155409434,143215323,126263818,446146298,328587768,446146298,328587768,339843108,4.222330668166412,13.858620496208305,"(2.129254239044351,3.9692428366803676,6.48413231827917,)","(5,12,5,)","(7.441700372918294e-07,3.7600170305271376e-06,2.506678020351425e-06,)"
wesad_chest_f64,272339192,8,34042399,"( (4,5,2,), (6,1,), (0,3,7,), )",-1,145824774,145824774,159273316,159273316,159273316,97841745,96552657,97841283,96553373,84180779,89430393,88324091,89431308,88331080,80756185,68416472,84370713,68423536,84383076,50639110,145117170,134464726,145123305,134471610,126257107,154323365,143212716,154318849,143210579,126263818,477187178,328587768,477187178,328587768,339843108,4.2429449134878165,13.858620496208305,"(5.620237183482441,4.856913029196403,2.4563405663541324,)","(10,5,5,)","(2.506678020351425e-06,3.7159543309506477e-06,8.322954364448091e-07,)"
wesad_chest_f64,272339192,8,34042399,"( (2,), (3,), (7,0,4,1,), (6,5,), )",-1,140342923,140342923,159273316,159273316,159273316,107590265,96558457,107590533,96558705,84180779,98000052,88320220,98002021,88325051,80756185,74333423,84423576,74327110,84461673,50639110,147393596,134461401,147344343,134470702,126257107,151464832,143213533,151462812,143212645,126263818,420598952,328587768,420598952,328587768,339843108,4.025828976940934,13.858620496208305,"(0.6808157675872677,1.7689081860359908,3.585467568210241,7.707518794531627,)","(86,29,7,4,)","(5.8750266101986524e-08,4.700021288158922e-07,1.8800085152635688e-06,3.7600170305271376e-06,)"
