,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,1444800,27750,27662,88,1.0811751827164984,50124,50036,88,1.0811751827164984,77666,77578,88,1.0811751827164984,288696,288556,140,14.845564728741664,246664,246524,140,15.120067985696291,168318,168178,140,15.362222177404666,720228,720112,116,8.021457058399582,757645,757529,116,7.2203875575050205,831227,831111,116,5.384762965885203,1.3941505119025792,1.3706622495823408,1.3416698626664203,1.3936878903107437,1.3702150824187027,1.3412414095288667,1.121021954898419,1.4110036407956623,1398103,1444800,15.448098537103338,FreezerRegularTrain_TRAIN,1.3941505119025792,1.3936878903107437
1,4,2,1444800,17124,16740,384,1.0811751827164984,40600,40162,438,1.0811751827164984,73271,72864,407,1.0811751827164984,253508,248855,4653,14.845564728741664,220342,215712,4630,15.120067985696291,152936,148962,3974,15.362222177404666,711657,707771,3886,8.021457058399582,779368,775434,3934,7.2203875575050205,843068,839104,3964,5.384762965885203,1.484333744963354,1.4009393895906945,1.3618240600228102,1.4708502283951057,1.3888167949938,1.3511959037665708,1.121021954898419,1.4110036407956623,1398103,1444800,15.448098537103338,FreezerRegularTrain_TRAIN,1.484333744963354,1.4708502283951057
2,8,1,1444800,15128,14852,276,1.0811158356458823,26480,26210,270,1.0811158356458823,40596,40318,278,1.0811158356458823,218985,214355,4630,14.845382251262205,186380,181780,4600,15.119909830673635,128015,123389,4626,15.362085478538049,706576,702697,3879,8.021340828840357,738901,735006,3895,7.220347904249694,799430,795501,3929,5.384652120256925,1.5503742874802555,1.532137994222669,1.5062426501864037,1.5358954978744304,1.5180281604310326,1.4924987681306887,1.121021954898419,1.4110036407956623,1398103,1444800,15.447969447341205,FreezerRegularTrain_TRAIN,1.5503742874802555,1.5358954978744304
3,8,2,1444800,10596,9542,1054,1.0811158356458823,22847,21565,1282,1.0811158356458823,39315,38036,1279,1.0811158356458823,253882,180266,73616,14.845382251262205,219099,154218,64881,15.119909830673635,150794,104579,46215,15.362085478538049,1518657,640461,878196,8.021340828840357,1536143,691280,844863,7.220347904249694,1600063,740899,859164,5.384652120256925,1.7401589123525025,1.6663149044533097,1.6352881787951294,0.8102583371421681,0.812557751608609,0.8070732868126638,1.121021954898419,1.4110036407956623,1398103,1444800,15.447969447341205,FreezerRegularTrain_TRAIN,1.7401589123525025,0.812557751608609
4,6,1,1444800,19284,19051,233,1.0812048422628309,34332,34080,252,1.0812048422628309,52904,52660,244,1.0812048422628309,239865,239011,854,14.845594943273072,204083,203223,860,15.120147056948655,139041,138177,864,15.362290522002553,710123,709409,714,8.021512481208871,745820,745106,714,7.220406527268672,810654,809926,728,5.384817964522802,1.4933780960876346,1.47067056592519,1.4436984580764876,1.4906032568773264,1.4679421073219303,1.4410546988377209,1.121021954898419,1.4110036407956623,1398103,1444800,15.448163077653591,FreezerRegularTrain_TRAIN,1.4933780960876346,1.4906032568773264
5,6,2,1444800,12613,11871,742,1.0812048422628309,28636,27707,929,1.0812048422628309,50505,49565,940,1.0812048422628309,233651,205705,27946,14.845594943273072,202737,177476,25261,15.120147056948655,139350,120995,18355,15.362290522002553,787910,692695,95215,8.021512481208871,846757,750439,96318,7.220406527268672,903167,806546,96621,5.384817964522802,1.58721963019804,1.511894870565977,1.4786522649538536,1.3970569749384534,1.3400981328782244,1.321839816581917,1.121021954898419,1.4110036407956623,1398103,1444800,15.448163077653591,FreezerRegularTrain_TRAIN,1.58721963019804,1.3970569749384534
6,10,1,1444800,12725,12294,431,1.0812048422628309,21934,21458,476,1.0812048422628309,33388,32912,476,1.0812048422628309,216990,198124,18866,14.845594943273072,185696,167684,18012,15.120147056948655,129617,113518,16099,15.362290522002553,715470,695865,19605,8.021512481208871,746227,726487,19740,7.220406527268672,801610,781862,19748,5.384817964522802,1.594204017950243,1.5779316731995163,1.5564068202677606,1.528589641181356,1.5146924539003226,1.497799640270989,1.121021954898419,1.4110036407956623,1398103,1444800,15.448163077653591,FreezerRegularTrain_TRAIN,1.594204017950243,1.528589641181356
7,10,2,1444800,9465,8036,1429,1.0812048422628309,19600,17773,1827,1.0812048422628309,33003,31034,1969,1.0812048422628309,283101,159688,123413,14.845594943273072,244374,135944,108430,15.120147056948655,166474,92021,74453,15.362290522002553,1612053,524154,1087899,8.021512481208871,1633625,576905,1056720,7.220406527268672,1716307,623157,1093150,5.384817964522802,2.088229427731479,1.9774931496724708,1.9361789947092782,0.7585769122328403,0.761383200560287,0.7541560008852772,1.121021954898419,1.4110036407956623,1398103,1444800,15.448163077653591,FreezerRegularTrain_TRAIN,2.088229427731479,0.761383200560287
8,12,1,1444800,11180,10651,529,1.0811158356458823,18970,18369,601,1.0811158356458823,28652,28049,603,1.0811158356458823,228965,185173,43792,14.845382251262205,195947,156356,39591,15.119909830673635,139397,105663,33734,15.362085478538049,784210,689103,95107,8.021340828840357,813815,718277,95538,7.220347904249694,866169,770424,95745,5.384652120256925,1.632677045677214,1.6179135097121844,1.597989682968049,1.410448526145721,1.4044474168199297,1.3969975382366193,1.121021954898419,1.4110036407956623,1398103,1444800,15.447969447341205,FreezerRegularTrain_TRAIN,1.632677045677214,1.410448526145721
9,12,2,1444800,8831,7087,1744,1.0811158356458823,17529,15335,2194,1.0811158356458823,28935,26508,2427,1.0811158356458823,305895,142629,163266,14.845382251262205,261445,121131,140314,15.119909830673635,177299,81757,95542,15.362085478538049,1482899,433040,1049859,8.021340828840357,1551151,482510,1068641,7.220347904249694,1643124,524617,1118507,5.384652120256925,2.4792537528571135,2.3341777387168485,2.2828900174124085,0.8037271399763577,0.7894542722491633,0.7812440857854456,1.121021954898419,1.4110036407956623,1398103,1444800,15.447969447341205,FreezerRegularTrain_TRAIN,2.4792537528571135,0.8037271399763577
