,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,240000,5182,5106,76,1.0729195737529817,8701,8612,89,1.0729195737529817,12557,12471,86,1.0729195737529817,94194,94066,128,12.084417931020669,83216,83088,128,12.42218961235002,61013,60878,135,12.742691921928099,97614,97500,114,10.773208333442017,105114,105000,114,9.961343566968448,120114,120000,114,8.156617399373614,1.2203058900097625,1.2201321809862735,1.2412787239654717,1.2183359561399056,1.2180824337287026,1.23913178166498,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.2412787239654717,1.23913178166498
1,4,2,240000,3280,3060,220,1.0729195737529817,7256,6929,327,1.0729195737529817,12990,12579,411,1.0729195737529817,94084,89940,4144,12.084417931020669,84069,79862,4207,12.42218961235002,62828,58462,4366,12.742691921928099,107204,103319,3885,10.773208333442017,108843,105000,3843,9.961343566968448,123842,120000,3842,8.156617399373614,1.2225001146093857,1.251362159851088,1.2562748310572076,1.1732040201791092,1.1989928460093522,1.2020434739056396,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.2562748310572076,1.2020434739056396
2,8,1,240000,3048,2842,206,1.0730535963424446,4848,4624,224,1.0730535963424446,6831,6606,225,1.0730535963424446,87560,83367,4193,12.084128792640817,77759,73501,4258,12.422080714996218,57618,53426,4192,12.741852918083021,101281,97437,3844,10.772818526251708,108779,104936,3843,9.961106227822109,123779,119936,3843,8.15654675718093,1.3068621151563333,1.3110383970370532,1.333570412517781,1.2507230742773165,1.2540102201832946,1.2750494081645665,1.118651651875606,1.1240164855751218,192805,240000,12.858297980456904,GunPoint_TRAIN,1.333570412517781,1.2750494081645665
3,8,2,240000,2339,1826,513,1.0730535963424446,4489,3809,680,1.0730535963424446,7521,6680,841,1.0730535963424446,147288,64891,82397,12.084128792640817,127487,57697,69790,12.422080714996218,88163,42660,45503,12.741852918083021,234892,81111,153781,10.772818526251708,255832,82983,172849,9.961106227822109,293405,95928,197477,8.15654675718093,1.6235084016559787,1.6610260988725785,1.6521188424153976,0.6241564135972475,0.6188629424870039,0.616825456386585,1.118651651875606,1.1240164855751218,192805,240000,12.858297980456904,GunPoint_TRAIN,1.6610260988725785,0.6241564135972475
4,6,1,240000,3684,3549,135,1.0729195737529817,6059,5911,148,1.0729195737529817,8655,8507,148,1.0729195737529817,87812,87020,792,12.084417931020669,77402,76610,792,12.42218961235002,56480,55684,796,12.742691921928099,98206,97500,706,10.773208333442017,105706,105000,706,9.961343566968448,120706,120000,706,8.156617399373614,1.276127378781192,1.279856656054522,1.3029952603547406,1.2651421703513932,1.2687202313299888,1.2914265420440054,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.3029952603547406,1.2914265420440054
5,6,2,240000,2505,2197,308,1.0729195737529817,5214,4793,421,1.0729195737529817,9095,8579,516,1.0729195737529817,130846,77976,52870,12.084417931020669,114049,68775,45274,12.42218961235002,79958,49676,30282,12.742691921928099,178126,98917,79209,10.773208333442017,184348,101813,82535,9.961343566968448,202538,116915,85623,8.156617399373614,1.3401083254229718,1.3684492618926793,1.3700976194553862,0.7705223820699442,0.7904851932242244,0.8230706709054806,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.3700976194553862,0.8230706709054806
6,10,1,240000,2675,2376,299,1.0729195737529817,4123,3804,319,1.0729195737529817,5723,5403,320,1.0729195737529817,100438,79478,20960,12.084417931020669,90899,70051,20848,12.42218961235002,69343,50478,18865,12.742691921928099,116557,96984,19573,10.773208333442017,124074,104499,19575,9.961343566968448,139089,119520,19569,8.156617399373614,1.3419966673749426,1.34563844937596,1.3682932252381685,1.0925479127782582,1.0954102311315588,1.1206836170063739,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.3682932252381685,1.1206836170063739
7,10,2,240000,2252,1560,692,1.0729195737529817,4034,3156,878,1.0729195737529817,6511,5452,1059,1.0729195737529817,145149,53935,91214,12.084417931020669,126876,48256,78620,12.42218961235002,90292,36092,54200,12.742691921928099,216987,64793,152194,10.773208333442017,229693,65276,164417,9.961343566968448,264753,75768,188985,8.156617399373614,1.9952114924181963,2.0567667626491155,2.0458265139116203,0.658638594026148,0.6655518672889577,0.6637975859894456,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,2.0567667626491155,0.6655518672889577
8,12,1,240000,2484,2089,395,1.0729195737529817,3718,3305,413,1.0729195737529817,5082,4668,414,1.0729195737529817,138236,75308,62928,12.084417931020669,121578,65980,55598,12.42218961235002,88691,47352,41339,12.742691921928099,176289,94413,81876,10.773208333442017,185775,101987,83788,9.961343566968448,203584,117052,86532,8.156617399373614,1.396891915488039,1.401279835583166,1.4195135800132488,0.757076297518367,0.7715280434370289,0.8071106447805163,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,1.4195135800132488,0.8071106447805163
9,12,2,240000,2294,1406,888,1.0729195737529817,3871,2760,1111,1.0729195737529817,6039,4697,1342,1.0729195737529817,139946,45952,93994,12.084417931020669,124070,41283,82787,12.42218961235002,91325,31305,60020,12.742691921928099,198199,52976,145223,10.773208333442017,206617,53052,153565,9.961343566968448,238492,61802,176690,8.156617399373614,2.39201068431439,2.4718059632318865,2.4538873665698744,0.7049721095409163,0.7173644031827068,0.7145919679862799,1.118651651875606,1.1240164855751218,192805,240000,12.859074880268496,GunPoint_TRAIN,2.4718059632318865,0.7173644031827068
