,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,326944,7236,7216,20,1.4835594021889804,11444,11424,20,1.4835594021889804,18508,18488,20,1.4835594021889804,36070,35932,138,8.479029951241476,27298,27160,138,8.479029951241476,11213,11072,141,8.58151777710205,204821,204705,116,2.799023298009796,212332,212213,119,1.9418061878986836,223525,223403,122,0.9542487141210126,1.3191044691813292,1.3036200592511076,1.2924577902697232,1.3176478174483228,1.3021818268717589,1.2910134809631741,2.7675221778289427,3.757977011494253,99753,326944,8.909682667334717,InsectEPGSmallTrain_TRAIN,1.3191044691813292,1.3176478174483228
1,4,2,326944,4406,4361,45,1.4835594021889804,11185,11125,60,1.4835594021889804,18413,18338,75,1.4835594021889804,29317,28392,925,8.479029951241476,19570,19060,510,8.479029951241476,7081,6873,208,8.58151777710205,202877,198895,3982,2.799023298009796,202076,198074,4002,1.9418061878986836,212259,208232,4027,0.9542487141210126,1.411382787677856,1.4323378267669622,1.4005303221771481,1.3818427726120033,1.404211638484566,1.3751414282890226,2.7675221778289427,3.757977011494253,99753,326944,8.909682667334717,InsectEPGSmallTrain_TRAIN,1.4323378267669622,1.404211638484566
2,8,1,326944,3638,3610,28,1.4835594021889804,5743,5715,28,1.4835594021889804,9276,9248,28,1.4835594021889804,20848,19234,1614,8.479029951241476,14874,14039,835,8.479029951241476,5835,5580,255,8.58151777710205,199495,195548,3947,2.799023298009796,204247,200272,3975,1.9418061878986836,212401,208425,3976,0.9542487141210126,1.4970511740356789,1.4859334805886577,1.4644551249031368,1.4596952420071345,1.453963284474171,1.4370406835683394,2.7675221778289427,3.757977011494253,99753,326944,8.909682667334717,InsectEPGSmallTrain_TRAIN,1.4970511740356789,1.4596952420071345
3,8,2,326944,2260,2183,77,1.4835594021889804,5662,5566,96,1.4835594021889804,9308,9178,130,1.4835594021889804,18948,15475,3473,8.479029951241476,11514,10024,1490,8.479029951241476,3809,3472,337,8.58151777710205,382499,161955,220544,2.799023298009796,388554,160661,227893,1.9418061878986836,394392,166370,228022,0.9542487141210126,1.8202691341940729,1.8549908936686883,1.8262987375712212,0.8098546718288263,0.8058166761146576,0.8022988449334861,2.7675221778289427,3.757977011494253,99753,326944,8.909682667334717,InsectEPGSmallTrain_TRAIN,1.8549908936686883,0.8098546718288263
4,6,1,326944,4825,4807,18,1.4831595118490128,7628,7610,18,1.4831595118490128,12333,12315,18,1.4831595118490128,25459,24761,698,8.47956586239839,18881,18360,521,8.47956586239839,7607,7393,214,8.582093832334907,199475,198746,729,2.7991073659109182,205208,204479,729,1.941622555856552,215551,214808,743,0.954374860265696,1.4319927818705818,1.4187260521850822,1.3941223626532944,1.4229866947540684,1.4109625103035168,1.388350297888242,2.7675221778289427,3.757977011494253,99753,326944,8.910336807126008,InsectEPGSmallTrain_TRAIN,1.4319927818705818,1.4229866947540684
5,6,2,326944,2948,2903,45,1.4831595118490128,7464,7410,54,1.4831595118490128,12288,12217,71,1.4831595118490128,22091,19837,2254,8.47956586239839,14030,12976,1054,8.47956586239839,4871,4590,281,8.582093832334907,272232,187691,84541,2.7991073659109182,271214,186648,84566,1.941622555856552,278600,194012,84588,0.954374860265696,1.553687431984831,1.579180231266362,1.5508279614266267,1.0998180111749885,1.1169629801713654,1.1054405783086905,2.7675221778289427,3.757977011494253,99753,326944,8.910336807126008,InsectEPGSmallTrain_TRAIN,1.579180231266362,1.1169629801713654
6,10,1,326944,2939,2890,49,1.4829590608386698,4622,4573,49,1.4829590608386698,7447,7398,49,1.4829590608386698,17845,15779,2066,8.479873616948481,12448,11366,1082,8.479873616948481,4744,4485,259,8.582421670718478,211523,191592,19931,2.7991490093536293,216423,196260,20163,1.9415303272486804,223122,202958,20164,0.9544379247418588,1.554943617694199,1.5407424163167593,1.5217951880693164,1.4073790286129992,1.4002304137597272,1.389400500609826,2.7675221778289427,3.757977011494253,99753,326944,8.910708255213635,InsectEPGSmallTrain_TRAIN,1.554943617694199,1.4073790286129992
7,10,2,326944,1838,1745,93,1.4829590608386698,4568,4452,116,1.4829590608386698,7500,7342,158,1.4829590608386698,16850,12772,4078,8.479873616948481,9915,8154,1761,8.479873616948481,3154,2799,355,8.582421670718478,380750,134621,246129,2.7991490093536293,387320,132762,254558,1.9415303272486804,394263,137751,256512,0.9544379247418588,2.192224650994381,2.2490782015299104,2.21069429042815,0.8185100065592157,0.8136922820387105,0.807434610055888,2.7675221778289427,3.757977011494253,99753,326944,8.910708255213635,InsectEPGSmallTrain_TRAIN,2.2490782015299104,0.8185100065592157
8,12,1,326944,2467,2410,57,1.4831595118490128,3870,3813,57,1.4831595118490128,6225,6168,57,1.4831595118490128,16155,13401,2754,8.47956586239839,10769,9531,1238,8.47956586239839,4017,3737,280,8.582093832334907,271916,186047,85869,2.7991073659109182,276332,190398,85934,1.941622555856552,282991,196529,86462,0.954374860265696,1.619673235640896,1.6046961353083802,1.583770115387969,1.1253054677873462,1.1236308773039239,1.114963186271668,2.7675221778289427,3.757977011494253,99753,326944,8.910336807126008,InsectEPGSmallTrain_TRAIN,1.619673235640896,1.1253054677873462
9,12,2,326944,1564,1455,109,1.4831595118490128,3848,3712,136,1.4831595118490128,6284,6117,167,1.4831595118490128,15509,10850,4659,8.47956586239839,8826,6853,1973,8.47956586239839,2724,2331,393,8.582093832334907,363824,113156,250668,2.7991073659109182,366287,111089,255198,1.941622555856552,372794,115653,257141,0.954374860265696,2.605941288527909,2.6874907524619003,2.634499319102989,0.8583527830358338,0.8627378542910749,0.8563181963426069,2.7675221778289427,3.757977011494253,99753,326944,8.910336807126008,InsectEPGSmallTrain_TRAIN,2.6874907524619003,0.8627378542910749
