,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,1802240,37844,37744,100,1.077889283353989,64442,64320,122,1.077889283353989,93714,93591,123,1.077889283353989,548067,547939,128,15.042130431060663,465139,465010,129,15.380896668289509,298553,298415,138,15.673902006218022,901234,901120,114,8.744281377532518,957554,957440,114,7.753785502581396,1070194,1070080,114,5.763267425571216,1.2121578985245522,1.2121848032984255,1.2326497894104724,1.2118791375420688,1.2118872866283155,1.2323337169333062,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.2326497894104724,1.2323337169333062
1,4,2,1802240,22647,22421,226,1.077889283353989,52145,51770,375,1.077889283353989,95116,94590,526,1.077889283353989,479592,475243,4349,15.042130431060663,404979,400550,4429,15.380896668289509,261648,257243,4405,15.673902006218022,904962,901120,3842,8.744281377532518,1008781,1004923,3858,7.753785502581396,1120826,1116965,3861,5.763267425571216,1.2884333821376281,1.236746376548043,1.2270169213193374,1.2807267760611314,1.2294384697507683,1.2197158887106707,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.2884333821376281,1.2807267760611314
2,8,1,1802240,20740,20318,422,1.077889283353989,34747,34093,654,1.077889283353989,50143,49493,650,1.077889283353989,479173,474941,4232,15.042130431060663,405846,401581,4265,15.380896668289509,260741,256323,4418,15.673902006218022,904962,901120,3842,8.744281377532518,961282,957440,3842,7.753785502581396,1073922,1070080,3842,5.763267425571216,1.290652466128465,1.2936773300677475,1.3098664433939775,1.2828472284011032,1.2855925100312082,1.3014386130620463,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.3098664433939775,1.3014386130620463
3,8,2,1802240,13788,12851,937,1.077889283353989,29598,28102,1496,1.077889283353989,52223,50017,2206,1.077889283353989,645850,362751,283099,15.042130431060663,525270,303850,221420,15.380896668289509,307097,190544,116553,15.673902006218022,1993112,849458,1143654,8.744281377532518,2068141,932712,1135429,7.753785502581396,2221523,1038619,1182904,5.763267425571216,1.4711442704847109,1.4250741698980915,1.4089025782141684,0.6793855433041184,0.6870887595124531,0.6983144654672911,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.4711442704847109,0.6983144654672911
4,6,1,1802240,26403,26097,306,1.077906875750264,44427,44055,372,1.077906875750264,64417,64039,378,1.077906875750264,505243,504443,800,15.042081999132487,426210,425405,805,15.380801270400875,273353,272544,809,15.673791905959764,901762,901056,706,8.744344262023377,958078,957372,706,7.753848320772351,1070710,1070004,706,5.763333400780606,1.2589026513066535,1.2631059578142345,1.2812858358565804,1.2573112470420145,1.2614412251568716,1.2795637850732704,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778842301499436,Mallat_TRAIN,1.2812858358565804,1.2795637850732704
5,6,2,1802240,16635,15993,642,1.077906875750264,36921,35961,960,1.077906875750264,66200,64868,1332,1.077906875750264,513214,419391,93823,15.042081999132487,435676,351503,84173,15.380801270400875,281101,221862,59239,15.673791905959764,993967,899514,94453,8.744344262023377,1087071,992034,95037,7.753848320772351,1196644,1101437,95207,5.763333400780606,1.3500956627397749,1.306446257986601,1.2982875979619166,1.182714973461363,1.1555279713374897,1.1672954671312774,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778842301499436,Mallat_TRAIN,1.3500956627397749,1.182714973461363
6,10,1,1802240,17853,17075,778,1.077889283353989,29292,28207,1085,1.077889283353989,41915,40834,1081,1.077889283353989,479022,457687,21335,15.042130431060663,407567,386078,21489,15.380896668289509,269229,247290,21939,15.673902006218022,920570,901111,19459,8.744281377532518,976882,957423,19459,7.753785502581396,1089317,1069851,19466,5.763267425571216,1.3098883399848678,1.3138656332105667,1.3271525617187356,1.2714708507208392,1.274802103072628,1.2868905310465626,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.3271525617187356,1.2868905310465626
7,10,2,1802240,12685,11098,1587,1.077889283353989,25942,23551,2391,1.077889283353989,44733,41320,3413,1.077889283353989,712022,316178,395844,15.042130431060663,573785,266498,307287,15.380896668289509,336136,170367,165769,15.673902006218022,2216870,698281,1518589,8.744281377532518,2319576,778473,1541103,7.753785502581396,2564271,870584,1693687,5.763267425571216,1.7573279690938681,1.686666254882913,1.6652391129393656,0.6126781654874239,0.6173528407294481,0.6119369537611116,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778944940792243,Mallat_TRAIN,1.7573279690938681,0.6173528407294481
8,12,1,1802240,15767,14756,1011,1.077906875750264,25489,24124,1365,1.077906875750264,36241,34867,1374,1.077906875750264,540762,441103,99659,15.042081999132487,467318,371526,95792,15.380801270400875,316514,236896,79618,15.673791905959764,994417,900000,94417,8.744344262023377,1050690,956301,94389,7.753848320772351,1162579,1068152,94427,5.763333400780606,1.3292237614678222,1.3330660652641997,1.3450405436165727,1.1620262729972546,1.167634274637398,1.1893351564737542,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778842301499436,Mallat_TRAIN,1.3450405436165727,1.1893351564737542
9,12,2,1802240,11874,9760,2114,1.077906875750264,23432,20310,3122,1.077906875750264,39768,35294,4474,1.077906875750264,713760,274453,439307,15.042081999132487,585905,233266,352639,15.380801270400875,346217,150687,195530,15.673791905959764,2007049,572624,1434425,8.744344262023377,2160189,647899,1512290,7.753848320772351,2410638,726754,1683884,5.763333400780606,2.1033638836791595,1.9992124018968913,1.9745490202523186,0.6595130134011153,0.6507395128263825,0.644434376746526,1.1038213346007417,1.1031024757129426,1782530,1802240,15.778842301499436,Mallat_TRAIN,2.1033638836791595,0.6595130134011153
