,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,1536000,34543,34476,67,0.9953904607613367,57583,57516,67,0.9953904607613367,81592,81525,67,0.9957210606772262,450482,450354,128,14.373003060338332,386324,386196,128,14.494115108633812,258496,258368,128,14.588382498166661,799136,799020,116,7.225319349219905,846129,846013,116,6.258594445571714,940089,939973,116,4.387524615422578,1.1964014487673793,1.190951559440966,1.200125638152744,1.1961117025045924,1.190664446573584,1.1998340854428724,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.200125638152744,1.1998340854428724
1,4,2,1536000,21621,21518,103,0.9953904607613367,45661,45528,133,0.9953904607613367,81707,81544,163,0.9957210606772262,444032,439734,4298,14.373003060338332,382808,378469,4339,14.494115108633812,254844,250475,4369,14.588382498166661,815218,811299,3919,7.225319349219905,823948,820062,3886,6.258594445571714,914385,910484,3901,4.387524615422578,1.2070243157248708,1.2346681306915508,1.2362143189996322,1.1991839927674215,1.226428577702155,1.2278805630343999,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.2362143189996322,1.2278805630343999
2,8,1,1536000,23281,23072,209,0.9953904607613367,34346,34116,230,0.9953904607613367,46378,46147,231,0.9957210606772262,403702,399513,4189,14.373003060338332,348802,344603,4199,14.494115108633812,237526,233421,4105,14.588382498166661,766360,762460,3900,7.225319349219905,811270,807370,3900,6.258594445571714,901044,897144,3900,4.387524615422578,1.2961533106337735,1.2950124316134792,1.3053321458436729,1.2871404114324214,1.2859819594145434,1.2962594139152097,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.3053321458436729,1.2962594139152097
3,8,2,1536000,16429,16112,317,0.9953904607613367,28493,28126,367,0.9953904607613367,46563,46149,414,0.9957210606772262,624132,334471,289661,14.373003060338332,515272,286288,228984,14.494115108633812,287864,188010,99854,14.588382498166661,1599754,705813,893941,7.225319349219905,1688337,721136,967201,6.258594445571714,1846556,804018,1042538,4.387524615422578,1.4540002044687788,1.4832697600309015,1.4795164986317362,0.6856178707012184,0.6881405957254642,0.7042695885295759,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.4832697600309015,0.7042695885295759
4,6,1,1536000,28164,28028,136,0.9953904607613367,43531,43379,152,0.9953904607613367,59550,59398,152,0.9957210606772262,422484,421708,776,14.373003060338332,364229,363452,777,14.494115108633812,247726,246943,783,14.588382498166661,783354,782640,714,7.225319349219905,829401,828687,714,6.258594445571714,921424,920710,714,4.387524615422578,1.2463728602309685,1.2432032556385257,1.2517817107846374,1.2447305595939067,1.2415522312779015,1.2501017335395133,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.2517817107846374,1.2501017335395133
5,6,2,1536000,19566,19370,196,0.9953904607613367,35614,35380,234,0.9953904607613367,59688,59398,290,0.9957210606772262,491905,396317,95588,14.373003060338332,431238,341544,89694,14.494115108633812,280528,224154,56374,14.588382498166661,872609,776364,96245,7.225319349219905,884783,789430,95353,6.258594445571714,972777,877193,95584,4.387524615422578,1.2885354737339259,1.3169243643010613,1.3232880606851634,1.1097624414773712,1.1364014693315874,1.169846297733499,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.3232880606851634,1.169846297733499
6,10,1,1536000,20230,19815,415,0.9953904607613367,29166,28729,437,0.9953904607613367,38824,38365,459,0.9957210606772262,403542,382529,21013,14.373003060338332,351839,330739,21100,14.494115108633812,244956,224160,20796,14.588382498166661,756239,736414,19825,7.225319349219905,799639,779814,19825,6.258594445571714,886411,866586,19825,4.387524615422578,1.3488379444974261,1.3482175615870347,1.3603622673058715,1.3016827809232288,1.3009848862146423,1.3126062326577457,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.3603622673058715,1.3126062326577457
7,10,2,1536000,14803,14212,591,0.9953904607613367,24476,23826,650,0.9953904607613367,38982,38250,732,0.9957210606772262,625571,279663,345908,14.373003060338332,516520,244219,272301,14.494115108633812,302560,165685,136875,14.588382498166661,1648901,570811,1078090,7.225319349219905,1767258,578064,1189194,6.258594445571714,1976326,647722,1328604,4.387524615422578,1.7763673749777376,1.815368941826644,1.8035429756345571,0.6709547782594927,0.665438032382918,0.6626779436965349,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.815368941826644,0.6709547782594927
8,12,1,1536000,20005,19258,747,0.9953904607613367,27488,26718,770,0.9953904607613367,35517,34747,770,0.9957210606772262,482774,383029,99745,14.373003060338332,430103,331429,98674,14.494115108633812,308859,223059,85800,14.588382498166661,841000,745374,95626,7.225319349219905,885017,789396,95621,6.258594445571714,973011,877398,95613,4.387524615422578,1.3383743108810007,1.3385119337576021,1.3530607714560554,1.143045098933679,1.1440420435451002,1.1659444035807245,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,1.3530607714560554,1.1659444035807245
9,12,2,1536000,15356,14271,1085,0.9953904607613367,23448,22284,1164,0.9953904607613367,35562,34307,1255,0.9957210606772262,662078,255212,406866,14.373003060338332,560944,224621,336323,14.494115108633812,359802,156172,203630,14.588382498166661,1573450,493545,1079905,7.225319349219905,1647261,495468,1151793,6.258594445571714,1841277,556627,1284650,4.387524615422578,2.013032287150668,2.0690407652217955,2.055933160756305,0.682398559854706,0.6882790469665311,0.6867440952750128,1.2508713752418676,1.3456214738760206,1313347,1536000,14.619321185459643,MiddlePhalanxOutlineCorrect_TRAIN,2.0690407652217955,0.6882790469665311
