,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,4672000,123840,123758,82,0.924931760178582,234474,234375,99,0.924931760178582,314260,314146,114,0.924931760178582,1781230,1781103,127,12.481289360391067,1572015,1571886,129,12.717218098538495,1127106,1126985,121,12.941988439061552,2190114,2190000,114,8.67922585260711,2336114,2336000,114,7.83205965290628,2628114,2628000,114,6.018015610793437,1.1409422688584545,1.1278864369000408,1.148156694881536,1.14085227916499,1.1277933222179388,1.1480582285697436,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.148156694881536,1.1480582285697436
1,4,2,4672000,49714,49598,116,0.924931760178582,126159,125990,169,0.924931760178582,237924,237704,220,0.924931760178582,1686048,1681888,4160,12.481289360391067,1469299,1465066,4233,12.717218098538495,1068836,1064420,4416,12.941988439061552,2277661,2273770,3891,8.67922585260711,2309335,2305456,3879,7.83205965290628,2595059,2591171,3888,6.018015610793437,1.1664672620177088,1.1990210732059852,1.2000118151848242,1.16409359292554,1.1964782768254296,1.1973902428585232,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.2000118151848242,1.1973902428585232
2,8,1,4672000,65482,65092,390,0.924931760178582,121768,121303,465,0.924931760178582,164038,163548,490,0.924931760178582,1176625,1171754,4871,12.481289360391067,1007323,1002491,4832,12.717218098538495,683086,678117,4969,12.941988439061552,1952645,1948581,4064,8.67922585260711,2078745,2074680,4065,7.83205965290628,2315729,2311669,4060,6.018015610793437,1.4666793494247397,1.4606965696766645,1.4816064520916592,1.462398333266557,1.456433558324054,1.4771473729572635,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.4816064520916592,1.4771473729572635
3,8,2,4672000,28209,27379,830,0.924931760178582,67603,66580,1023,0.924931760178582,124656,123426,1230,0.924931760178582,1271955,1056881,215074,12.481289360391067,1055727,897842,157885,12.717218098538495,703495,625693,77802,12.941988439061552,3042909,1914134,1128775,8.67922585260711,3149468,1953510,1195958,7.83205965290628,3396890,2180208,1216682,6.018015610793437,1.5581674723201822,1.6011339537727405,1.5949055875291491,1.075736005358418,1.0934287087758419,1.1057880858434272,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.6011339537727405,1.1057880858434272
4,6,1,4672000,104867,104447,420,0.924929058137808,180443,179931,512,0.924929058137808,237189,236668,521,0.924929058137808,1411999,1411136,863,12.48128634681738,1224233,1223359,874,12.717218316913202,857052,856181,871,12.941991622944554,2068401,2067665,736,8.679222295452895,2202022,2201286,736,7.8320518009387765,2458062,2457326,736,6.018011970306247,1.303845003192634,1.296130252212743,1.3159914652094615,1.303110758557173,1.2953676742549556,1.3152031231570054,2.562088979946389,2.9882822493987615,2683808,4672000,13.022818045951048,ACSF1_TRAIN,1.3159914652094615,1.3152031231570054
5,6,2,4672000,55354,54493,861,0.924929058137808,108416,107359,1057,0.924929058137808,184877,183658,1219,0.924929058137808,1421521,1332220,89301,12.48128634681738,1229214,1153554,75660,12.717218316913202,879323,830611,48712,12.941991622944554,2213771,2115809,97962,8.679222295452895,2248352,2150829,97523,7.8320518009387765,2498303,2400416,97887,6.018011970306247,1.3338959755284907,1.3693884238608898,1.3682081948993832,1.2659030424483952,1.3028509345557229,1.3114374921228136,2.562088979946389,2.9882822493987615,2683808,4672000,13.022818045951048,ACSF1_TRAIN,1.3693884238608898,1.3114374921228136
6,10,1,4672000,67236,65954,1282,0.924931760178582,113482,111954,1528,0.924931760178582,149574,147975,1599,0.924931760178582,1087918,1065348,22570,12.481289360391067,922941,901886,21055,12.717218098538495,621367,603473,17894,12.941988439061552,1945191,1924803,20388,8.67922585260711,2068289,2047876,20413,7.83205965290628,2295955,2275448,20507,6.018015610793437,1.52874328598003,1.5259416614735004,1.5434953827287095,1.5069290675715121,1.5048094638085594,1.5233643397102477,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.5434953827287095,1.5233643397102477
7,10,2,4672000,37624,34940,2684,0.924931760178582,70777,67586,3191,0.924931760178582,117904,114068,3836,0.924931760178582,1359316,932013,427303,12.481289360391067,1105425,796418,309007,12.717218098538495,715227,556418,158809,12.941988439061552,3836685,1707660,2129025,8.67922585260711,4070708,1741382,2329326,7.83205965290628,4409010,1946960,2462050,6.018015610793437,1.7467947699349402,1.7932083768009808,1.7849460886681139,0.8926891017220377,0.8904288428808574,0.8912389041042582,2.562088979946389,2.9882822493987615,2683808,4672000,13.022813754854985,ACSF1_TRAIN,1.7932083768009808,0.8926891017220377
8,12,1,4672000,46307,45238,1069,0.924937029262288,84455,83204,1251,0.924937029262288,113908,112592,1316,0.924937029262288,992581,934491,58090,12.481325604396874,834448,785516,48932,12.717267086997566,546718,515015,31703,12.942049515880655,1922445,1822947,99498,8.679198295022221,2039824,1940231,99593,7.832019443893296,2253328,2153458,99870,6.017994199002567,1.6669782736213532,1.6632543607916266,1.679931968508467,1.5776678948297946,1.5790574797877601,1.6033197504147285,2.562088979946389,2.9882822493987615,2683808,4672000,13.022879260701487,ACSF1_TRAIN,1.679931968508467,1.6033197504147285
9,12,2,4672000,21928,19583,2345,0.924937029262288,49038,46315,2723,0.924937029262288,87897,84708,3189,0.924937029262288,1277793,784777,493016,12.481325604396874,1016953,663232,353721,12.717267086997566,633406,454776,178630,12.942049515880655,3792844,1455051,2337793,8.679198295022221,4012071,1475430,2536641,7.832019443893296,4400353,1654291,2746062,6.017994199002567,2.067795544945121,2.138237610739152,2.129662340030313,0.9174158798169488,0.9200360294931412,0.9122049587086677,2.562088979946389,2.9882822493987615,2683808,4672000,13.022879260701487,ACSF1_TRAIN,2.138237610739152,0.9200360294931412
