,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,256256,5295,5219,76,1.0343846621451276,9325,9249,76,1.0343846621451276,13714,13638,76,1.0343846621451276,112577,112452,125,12.143930523786617,101180,101055,125,12.513342608129136,76713,76594,119,12.841148951758862,104218,104104,114,11.416255746320438,112226,112112,114,10.65113503258573,128242,128128,114,8.860330854150039,1.1554773982640063,1.1521473275303935,1.1735482689137204,1.1538385339276869,1.150517889292465,1.171889934101313,1.096911170467776,1.0957854406130267,207824,256256,12.966976508583944,Coffee_TRAIN,1.1735482689137204,1.171889934101313
1,4,2,256256,3551,3289,262,1.0343846621451276,7774,7399,375,1.0343846621451276,13884,13428,456,1.0343846621451276,112205,108165,4040,12.143930523786617,101503,97431,4072,12.513342608129136,79607,75478,4129,12.841148951758862,114320,110438,3882,11.416255746320438,115951,112108,3843,10.65113503258573,131970,128127,3843,8.860330854150039,1.1548681340471942,1.1812407231559248,1.1807236687508351,1.1137884872824633,1.1377626227644875,1.1365868154581058,1.096911170467776,1.0957854406130267,207824,256256,12.966976508583944,Coffee_TRAIN,1.1812407231559248,1.1377626227644875
2,8,1,256256,3320,2973,347,1.0343846621451276,5472,5037,435,1.0343846621451276,7737,7310,427,1.0343846621451276,106906,102918,3988,12.143930523786617,96260,92271,3989,12.513342608129136,74908,70896,4012,12.841148951758862,107940,104097,3843,11.416255746320438,115948,112105,3843,10.65113503258573,131970,128128,3842,8.860330854150039,1.2203364001752481,1.223687163643136,1.2419475219789273,1.1745918245739482,1.1772142594634325,1.1940265125923164,1.096911170467776,1.0957854406130267,207824,256256,12.966976508583944,Coffee_TRAIN,1.2419475219789273,1.1940265125923164
3,8,2,256256,2624,1999,625,1.0343846621451276,4945,4105,840,1.0343846621451276,8236,7164,1072,1.0343846621451276,198461,80556,117905,12.143930523786617,176674,72697,103977,12.513342608129136,134135,56648,77487,12.841148951758862,251330,87133,164197,11.416255746320438,273138,89120,184018,10.65113503258573,312757,102907,209850,8.860330854150039,1.5101598227334874,1.5444365424717639,1.5370533652433136,0.5664180011714908,0.5635009466594247,0.5630416058779069,1.096911170467776,1.0957854406130267,207824,256256,12.966976508583944,Coffee_TRAIN,1.5444365424717639,0.5664180011714908
4,6,1,256256,3839,3676,163,1.0342864601129995,6541,6378,163,1.0342864601129995,9497,9334,163,1.0342864601129995,108024,107288,736,12.143642213679113,96646,95909,737,12.512644847851275,73821,73082,739,12.840615012742164,104758,104052,706,11.416584692120175,112762,112056,706,10.651511746174283,128770,128064,706,8.860753972190041,1.1917996800238122,1.1955417251788023,1.217483846446218,1.182969333536453,1.186650551750645,1.2082531779261438,1.096911170467776,1.0957854406130267,207824,256256,12.966255576842004,Coffee_TRAIN,1.217483846446218,1.2082531779261438
5,6,2,256256,2729,2384,345,1.0342864601129995,5590,5140,450,1.0342864601129995,9745,9186,559,1.0342864601129995,167001,97854,69147,12.143642213679113,151259,87840,63419,12.512644847851275,118410,67579,50831,12.840615012742164,188005,106032,81973,11.416584692120175,194148,109076,85072,10.651511746174283,213036,125325,87711,8.860753972190041,1.2423328646919087,1.2682424674347705,1.2680290959473501,0.7163291263085804,0.7300803140767584,0.7510631874814986,1.096911170467776,1.0957854406130267,207824,256256,12.966255576842004,Coffee_TRAIN,1.2682424674347705,0.7510631874814986
6,10,1,256256,2956,2517,439,1.034187673968512,4692,4176,516,1.034187673968512,6534,6018,516,1.034187673968512,119718,99532,20186,12.143460819875484,109527,89358,20169,12.512041111243153,88785,68786,19999,12.839830900278749,123073,103509,19564,11.416951523509995,131092,111535,19557,10.651832799158901,147111,127562,19549,8.861154186979329,1.2466359859504375,1.2496086683018885,1.2662996748465651,1.0427634925350056,1.0446168333258599,1.0570308955162315,1.096911170467776,1.0957854406130267,207824,256256,12.965534284660652,Coffee_TRAIN,1.2662996748465651,1.0570308955162315
7,10,2,256256,2575,1740,835,1.034187673968512,4498,3443,1055,1.034187673968512,7196,5914,1282,1.034187673968512,193529,66488,127041,12.143460819875484,174085,60322,113763,12.512041111243153,133297,47197,86100,12.839830900278749,232567,69643,162924,11.416951523509995,246330,70180,176150,10.651832799158901,283667,81364,202303,8.861154186979329,1.8586649839342573,1.9131434544029267,1.90560327198364,0.5977917797098474,0.6030787478848612,0.604149377593361,1.096911170467776,1.0957854406130267,207824,256256,12.965534284660652,Coffee_TRAIN,1.9131434544029267,0.604149377593361
8,12,1,256256,2780,2215,565,1.0342864601129995,4251,3601,650,1.0342864601129995,5783,5136,647,1.0342864601129995,170596,95299,75297,12.143642213679113,156228,85268,70960,12.512644847851275,126461,65409,61052,12.840615012742164,183640,100943,82697,11.416584692120175,193437,108942,84495,10.651511746174283,212404,125171,87233,8.860753972190041,1.2912419315015344,1.295458796527999,1.3093257577305892,0.7177717525264974,0.7240588162162773,0.7435296302314245,1.096911170467776,1.0957854406130267,207824,256256,12.966255576842004,Coffee_TRAIN,1.3093257577305892,0.7435296302314245
9,12,2,256256,2575,1564,1011,1.0342864601129995,4215,2981,1234,1.0342864601129995,6528,5039,1489,1.0342864601129995,183034,55840,127194,12.143642213679113,166704,50809,115895,12.512644847851275,130764,39956,90808,12.840615012742164,212572,57074,155498,11.416584692120175,221752,57174,164578,10.651511746174283,255747,66510,189237,8.860753972190041,2.2384737678855324,2.3093615947514508,2.2981570333168917,0.6435666192008157,0.6525972124246506,0.6519861896656566,1.096911170467776,1.0957854406130267,207824,256256,12.966255576842004,Coffee_TRAIN,2.3093615947514508,0.6525972124246506
