,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,3744000,99044,98904,140,1.261700467140058,160817,160677,140,1.261700467140058,237626,237486,140,1.2621227759526514,1233555,1233430,125,16.0801797907055,1057839,1057714,125,16.423728199113416,698239,698120,119,16.725139479931112,1989114,1989000,114,8.458270201576694,2106114,2106000,114,7.462005675669029,2340114,2340000,114,5.4649026379184376,1.1272579029992167,1.1262213139188502,1.1429946092417709,1.1271292854018393,1.12609293274422,1.1428644689114307,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.1429946092417709,1.1428644689114307
1,4,2,3744000,77710,75565,2145,1.261700467140058,153076,150695,2381,1.261700467140058,250724,248164,2560,1.2621227759526514,1206962,1202859,4103,16.0801797907055,1043721,1039598,4123,16.423728199113416,709858,705625,4233,16.725139479931112,2093517,2089659,3858,8.458270201576694,2109842,2106000,3842,7.462005675669029,2343842,2340000,3842,5.4649026379184376,1.1116115606414687,1.1358213605404617,1.1366848331814818,1.108286126087084,1.132267538125571,1.1330265123361893,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.1366848331814818,1.1330265123361893
2,8,1,3744000,76374,72405,3969,1.261700467140058,114986,110793,4193,1.261700467140058,168233,164027,4206,1.2621227759526514,1144217,1140220,3997,16.0801797907055,979800,975802,3998,16.423728199113416,650928,646893,4035,16.725139479931112,1992842,1989000,3842,8.458270201576694,2109842,2106000,3842,7.462005675669029,2343842,2340000,3842,5.4649026379184376,1.1694061609339008,1.1727137328724753,1.188224391606261,1.165109090496052,1.168310331183526,1.183685251009879,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.188224391606261,1.183685251009879
3,8,2,3744000,80536,60255,20281,1.261700467140058,130985,107275,23710,1.261700467140058,192101,164252,27849,1.2621227759526514,1915861,1034725,881136,16.0801797907055,1630506,890476,740030,16.423728199113416,1047447,599949,447498,16.725139479931112,3704840,2001802,1703038,8.458270201576694,3819940,2056128,1763812,7.462005675669029,4109517,2290847,1818670,5.4649026379184376,1.2089969523201827,1.2259817759642737,1.2255126597028918,0.6566995899310974,0.6707957152923686,0.6999354092724617,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.2259817759642737,0.6999354092724617
4,6,1,3744000,81411,80520,891,1.261700467140058,127477,126587,890,1.261700467140058,188546,187646,900,1.2621227759526514,1183128,1182357,771,16.0801797907055,1010169,1009432,737,16.423728199113416,665518,664774,744,16.725139479931112,1989706,1989000,706,8.458270201576694,2106706,2106000,706,7.462005675669029,2340706,2340000,706,5.4649026379184376,1.1513350597208936,1.1548359216895399,1.1727780179299716,1.1504972735611485,1.1540054839918727,1.171915349148765,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.1727780179299716,1.171915349148765
5,6,2,3744000,73729,65361,8368,1.261700467140058,132083,122394,9689,1.261700467140058,204475,193910,10565,1.2621227759526514,1221450,1122083,99367,16.0801797907055,1069465,969132,100333,16.423728199113416,754968,656637,98331,16.725139479931112,2161853,2066939,94914,8.458270201576694,2200012,2105766,94246,7.462005675669029,2434029,2339788,94241,5.4649026379184376,1.1504484874705896,1.170990951092362,1.1735444710351735,1.0830099345334379,1.1006714566257834,1.103294796597703,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.1735444710351735,1.103294796597703
6,10,1,3744000,76637,66437,10200,1.261700467140058,112212,100371,11841,1.261700467140058,160912,149107,11805,1.2621227759526514,1131175,1111007,20168,16.0801797907055,971983,951793,20190,16.423728199113416,654366,634031,20335,16.725139479931112,2008458,1989000,19458,8.458270201576694,2125458,2106000,19458,7.462005675669029,2359458,2340000,19458,5.4649026379184376,1.1823989307879754,1.1854989164590566,1.198794289589509,1.1640813737652622,1.1664812364451858,1.1793106576420842,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.198794289589509,1.1793106576420842
7,10,2,3744000,90049,55246,34803,1.261700467140058,136716,95784,40932,1.261700467140058,193718,144457,49261,1.2621227759526514,2091988,893382,1198606,16.0801797907055,1761725,772027,989698,16.423728199113416,1129933,531278,598655,16.725139479931112,4934355,1713235,3221120,8.458270201576694,5330924,1753946,3576978,7.462005675669029,5926506,1962096,3964410,5.4649026379184376,1.4065336946341715,1.4280499680176308,1.4193479415474304,0.5261092980825115,0.5178878089569415,0.516402610315887,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.4280499680176308,0.5261092980825115
8,12,1,3744000,80527,62746,17781,1.261700467140058,114816,93433,21383,1.261700467140058,159801,138563,21238,1.2621227759526514,1187961,1090517,97444,16.0801797907055,1032594,934849,97745,16.423728199113416,722342,623997,98345,16.725139479931112,2082984,1988727,94257,8.458270201576694,2200013,2105764,94249,7.462005675669029,2434040,2339798,94242,5.4649026379184376,1.1916015009595828,1.1946219040818162,1.2068239706700516,1.117121073963918,1.1184723293112344,1.1290088635036124,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.2068239706700516,1.1290088635036124
9,12,2,3744000,100468,51298,49170,1.261700467140058,146276,87483,58793,1.261700467140058,201505,130410,71095,1.2621227759526514,2080745,775012,1305733,16.0801797907055,1782688,675580,1107108,16.423728199113416,1188084,472341,715743,16.725139479931112,4601685,1432136,3169549,8.458270201576694,4904459,1447976,3456483,7.462005675669029,5476523,1623370,3853153,5.4649026379184376,1.6577770732618802,1.6933215560648185,1.6818492795315259,0.5519764560811617,0.547895249569652,0.5452867649114957,1.0817557728312877,1.081048617158644,3947572,3744000,16.834183192332798,CricketX_TRAIN,1.6933215560648185,0.5519764560811617
