,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,3744000,98577,98437,140,1.2594530100518404,159872,159732,140,1.2594530100518404,236164,236024,140,1.2596016405868642,1642328,1642209,119,13.893774399621245,1452795,1452676,119,14.77991104349482,1073839,1073720,119,16.079791886118013,1638114,1638000,114,11.441841870487972,1755114,1755000,114,10.462639096318478,1989114,1989000,114,8.479473113325357,1.1081362178813643,1.1118343841910454,1.1349774338354235,1.1080138939733692,1.1117112425065645,1.134849112656508,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.1349774338354235,1.134849112656508
1,4,2,3744000,76776,74749,2027,1.2594530100518404,151611,149370,2241,1.2594530100518404,249196,246768,2428,1.2596016405868642,1509125,1505124,4001,13.893774399621245,1351264,1347263,4001,14.77991104349482,1025873,1021901,3972,16.079791886118013,1641842,1638000,3842,11.441841870487972,1858022,1854164,3858,10.462639096318478,2093797,2089939,3858,8.479473113325357,1.1635014806364328,1.117346111984701,1.114747538265853,1.1599436510279784,1.1139883191897877,1.1113531971886088,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.1635014806364328,1.1599436510279784
2,8,1,3744000,75668,71794,3874,1.2594530100518404,113880,109826,4054,1.2594530100518404,166578,162520,4058,1.2596016405868642,1519208,1515220,3988,13.893774399621245,1354897,1350909,3988,14.77991104349482,1026434,1022444,3990,16.079791886118013,1641842,1638000,3842,11.441841870487972,1758842,1755000,3842,10.462639096318478,1992842,1989000,3842,8.479473113325357,1.1609251928828836,1.164275041320258,1.1795975001606824,1.1567272774458572,1.1599882142223106,1.1751950968249016,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.1795975001606824,1.1751950968249016
3,8,2,3744000,80380,59502,20878,1.2594530100518404,130717,106445,24272,1.2594530100518404,191527,163052,28475,1.2596016405868642,2647798,1347665,1300133,13.893774399621245,2419172,1207606,1211566,14.77991104349482,1893513,913467,980046,16.079791886118013,3190752,1588426,1602326,11.441841870487972,3378157,1763471,1614686,10.462639096318478,3702159,2001732,1700427,8.479473113325357,1.249836009097364,1.2165631959739036,1.2162750860797251,0.632546760985516,0.6315740464901926,0.6469450938182703,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.249836009097364,0.6469450938182703
4,6,1,3744000,80702,79805,897,1.2594530100518404,126382,125487,895,1.2594530100518404,187001,186100,901,1.2596016405868642,1560638,1559902,736,13.893774399621245,1387562,1386826,736,14.77991104349482,1041484,1040748,736,16.079791886118013,1638706,1638000,706,11.441841870487972,1755706,1755000,706,10.462639096318478,1989706,1989000,706,8.479473113325357,1.1422619532496345,1.1458957253253668,1.164234130468853,1.1414474065302742,1.145076690165614,1.1633865112418746,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.164234130468853,1.1633865112418746
5,6,2,3744000,72859,64372,8487,1.2594530100518404,130884,121069,9815,1.2594530100518404,203067,192419,10648,1.2596016405868642,1535082,1437769,97313,13.893774399621245,1385885,1288382,97503,14.77991104349482,1078693,981660,97033,16.079791886118013,1731861,1637580,94281,11.441841870487972,1925046,1830132,94914,10.462639096318478,2161937,2067023,94914,8.479473113325357,1.1924626423812816,1.1557042989792206,1.1551626576392844,1.1210245397781067,1.087798153009386,1.0872036651308172,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.1924626423812816,1.1210245397781067
6,10,1,3744000,75903,65858,10045,1.2594530100518404,110929,99411,11518,1.2594530100518404,159143,147677,11466,1.2596016405868642,1502684,1482570,20114,13.893774399621245,1343817,1323701,20116,14.77991104349482,1026119,1005986,20133,16.079791886118013,1657458,1638000,19458,11.441841870487972,1774458,1755000,19458,10.462639096318478,2008458,1989000,19458,8.479473113325357,1.1749833983382019,1.1780579161464417,1.191346319984039,1.156967841918144,1.1594188536865433,1.1723006400060119,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.191346319984039,1.1723006400060119
7,10,2,3744000,90481,54590,35891,1.2594530100518404,137087,95059,42028,1.2594530100518404,193628,143456,50172,1.2596016405868642,3132876,1144783,1988093,13.893774399621245,2796687,1022390,1774297,14.77991104349482,2129228,771121,1358107,16.079791886118013,4124556,1336904,2787652,11.441841870487972,4327756,1504608,2823148,10.462639096318478,4935872,1713315,3222557,8.479473113325357,1.4761794551620346,1.4278865791247102,1.4247160842226392,0.5095324345838063,0.5155938211368678,0.5157928496563035,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.4761794551620346,0.5157928496563035
8,12,1,3744000,78935,61893,17042,1.2594530100518404,112892,92330,20562,1.2594530100518404,157522,136962,20560,1.2596016405868642,1556413,1459417,96996,13.893774399621245,1401772,1304675,97097,14.77991104349482,1089589,993136,96453,16.079791886118013,1731892,1637615,94277,11.441841870487972,1848913,1754651,94262,10.462639096318478,2083016,1988766,94250,8.479473113325357,1.1852133241529952,1.1879469079112694,1.20043708221968,1.1118898563808937,1.1131007258047014,1.1242814463232182,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.20043708221968,1.1242814463232182
9,12,2,3744000,98993,50435,48558,1.2594530100518404,144477,86343,58134,1.2594530100518404,199828,128979,70849,1.2596016405868642,2951377,964341,1987036,13.893774399621245,2638739,861202,1777537,14.77991104349482,2034038,654089,1379949,16.079791886118013,3759605,1097156,2662449,11.441841870487972,4030810,1256706,2774104,10.462639096318478,4603183,1432104,3171079,8.479473113325357,1.7727843510113015,1.6985361467455384,1.6901622086230776,0.5497817539711967,0.5494549037529355,0.5476046756429565,1.0810710919742021,1.0803797950510294,3947907,3744000,16.834473790623406,CricketZ_TRAIN,1.7727843510113015,0.5497817539711967
