,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,10598400,93000,92868,132,0.1146504208917534,175800,175668,132,0.1146504208917534,508915,508777,138,0.12559454930791014,8991735,8991616,119,1.9998749955410628,8386599,8386480,119,2.9996030464388923,7340387,7340268,119,4.99627193372499,662514,662400,114,10.446410075159116,993714,993600,114,10.446410075159116,1656114,1656000,114,10.446410075159116,1.087362894644073,1.1091125467101057,1.115028913592729,1.0873221767495629,1.109070183661495,1.1149853935903489,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.115028913592729,1.1149853935903489
1,4,2,10598400,93000,92868,132,0.1146504208917534,93049,92868,181,0.1146504208917534,261253,260909,344,0.12559454930791014,8743120,8739134,3986,1.9998749955410628,8177943,8174001,3942,2.9996030464388923,7236300,7232343,3957,4.99627193372499,665602,661750,3852,10.446410075159116,1135442,1131419,4023,10.446410075159116,1850261,1846285,3976,10.446410075159116,1.1163552618606427,1.1276947461069506,1.1347885874856538,1.1154188682851383,1.1267181590813267,1.133783791590205,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.1347885874856538,1.133783791590205
2,8,1,10598400,56632,53733,2899,0.1146504208917534,98032,95133,2899,0.1146504208917534,268082,264915,3167,0.12559454930791014,8425498,8421507,3991,1.9998749955410628,7894034,7890057,3977,2.9996030464388923,6983293,6979379,3914,4.99627193372499,666242,662400,3842,10.446410075159116,997442,993600,3842,10.446410075159116,1659842,1656000,3842,10.446410075159116,1.1598618461659684,1.180381766362728,1.190792124394992,1.158501206553472,1.178974422181948,1.1893325008245226,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.190792124394992,1.1893325008245226
3,8,2,10598400,56632,53733,2899,0.1146504208917534,57833,53733,4100,0.1146504208917534,143886,139080,4806,0.12559454930791014,10052580,7992092,2060488,1.9998749955410628,9609529,7555695,2053834,2.9996030464388923,8778569,6742903,2035666,4.99627193372499,1487213,610540,876673,10.446410075159116,1926251,1022479,903772,10.446410075159116,3104419,1706378,1398041,10.446410075159116,1.2243476332155587,1.2278167501109547,1.2340422113136604,0.9139368382928359,0.9141585112423539,0.8812264932683256,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.2340422113136604,0.9141585112423539
4,6,1,10598400,67559,66792,767,0.1146504208917534,122759,121992,767,0.1146504208917534,347140,346308,832,0.12559454930791014,8673447,8672711,736,1.9998749955410628,8095811,8095075,736,2.9996030464388923,7126744,7126023,721,4.99627193372499,663106,662400,706,10.446410075159116,994306,993600,706,10.446410075159116,1656706,1656000,706,10.446410075159116,1.127261151279693,1.1506658529724285,1.1610446641341117,1.1269963607409184,1.1503899542336182,1.1607574099811733,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.1610446641341117,1.1607574099811733
5,6,2,10598400,67559,66792,767,0.1146504208917534,67858,66792,1066,0.1146504208917534,181130,179705,1425,0.12559454930791014,8403097,8306351,96746,1.9998749955410628,7916723,7820242,96481,2.9996030464388923,7060904,6964215,96689,4.99627193372499,752105,657251,94854,10.446410075159116,1189830,1091330,98500,10.446410075159116,1890102,1793457,96645,10.446410075159116,1.1736364991383543,1.1804377724048614,1.1858512850023,1.1491569606975611,1.1552131248534647,1.1605609027285622,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.1858512850023,1.1605609027285622
6,10,1,10598400,51963,45595,6368,0.1146504208917534,85083,78715,6368,0.1146504208917534,222717,215729,6988,0.12559454930791014,8262322,8242212,20110,1.9998749955410628,7761308,7741253,20055,2.9996030464388923,6888156,6868351,19805,4.99627193372499,681840,662379,19461,10.446410075159116,1013051,993592,19459,10.446410075159116,1675458,1656000,19458,10.446410075159116,1.1841541617123934,1.202510676729948,1.2126204794464124,1.1781072406174882,1.196283016469886,1.2062372792465934,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.2126204794464124,1.2062372792465934
7,10,2,10598400,51963,45595,6368,0.1146504208917534,54791,45595,9196,0.1146504208917534,124759,114462,10297,0.12559454930791014,17247953,7246053,10001900,1.9998749955410628,16431486,6860771,9570715,2.9996030464388923,14734420,6117081,8617339,4.99627193372499,1580178,495073,1085105,10.446410075159116,2024730,891584,1133146,10.446410075159116,3735811,1480591,2255220,10.446410075159116,1.361086393104363,1.3591264370764111,1.3742499806149633,0.5613531373307781,0.5725458371875717,0.5699599730895257,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.3742499806149633,0.5725458371875717
8,12,1,10598400,50003,39963,10040,0.1146504208917534,77603,67563,10040,0.1146504208917534,193758,182658,11100,0.12559454930791014,8201276,8105301,95975,1.9998749955410628,7726332,7629615,96717,2.9996030464388923,6880519,6784718,95801,4.99627193372499,755255,660748,94507,10.446410075159116,1086897,992491,94406,10.446410075159116,1749710,1655417,94293,10.446410075159116,1.2035413987625727,1.2196552020566032,1.229114510808737,1.1767456826344074,1.1920594158117035,1.2010897114875623,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.229114510808737,1.2010897114875623
9,12,2,10598400,50003,39963,10040,0.1146504208917534,54772,39963,14809,0.1146504208917534,114146,97798,16348,0.12559454930791014,17405070,6190647,11214423,1.9998749955410628,16498730,5864832,10633898,2.9996030464388923,14719753,5228980,9490773,4.99627193372499,1432832,407829,1025003,10.446410075159116,1945215,791205,1154010,10.446410075159116,3509088,1276511,2232577,10.446410075159116,1.5965199047547172,1.5827956989247312,1.6050183476749238,0.5611209925081686,0.5729262196940469,0.5777903020920202,1.9679261314683985,2.6028732199553613,3564428,10598400,10.499883406250174,Crop_TRAIN,1.6050183476749238,0.5777903020920202
