,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,1024000,24125,24022,103,0.9962176491373376,39515,39412,103,0.9962176491373376,55527,55424,103,0.9962176491373376,405338,405213,125,12.958336243047436,363089,362961,128,13.383727751487505,275725,275606,119,13.78923369526101,436279,436163,116,10.185038290214656,467411,467295,116,9.24942735514797,529663,529547,116,7.3149501519717175,1.1832705876371334,1.1774608241305877,1.189899334981065,1.1828004186004606,1.176991201301127,1.1894321739079932,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.189899334981065,1.1894321739079932
1,4,2,1024000,15564,15408,156,0.9962176491373376,31611,31420,191,0.9962176491373376,55653,55430,223,0.9962176491373376,373270,369248,4022,12.958336243047436,334061,330021,4040,13.383727751487505,255165,251101,4064,13.78923369526101,424750,420819,3931,10.185038290214656,479095,475154,3941,9.24942735514797,539842,535908,3934,7.3149501519717175,1.2712995437474781,1.2240092278820696,1.2155182749136733,1.2586284882691892,1.212168562455683,1.2037711894293843,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.2712995437474781,1.2586284882691892
2,8,1,1024000,17179,16730,449,0.9962176491373376,24725,24276,449,0.9962176491373376,32739,32290,449,0.9962176491373376,369508,365502,4006,12.958336243047436,331375,327365,4010,13.383727751487505,254858,250836,4022,13.78923369526101,417897,413966,3931,10.185038290214656,447459,443528,3931,9.24942735514797,506681,502750,3931,7.3149501519717175,1.28611224846081,1.287776560705963,1.303004545246324,1.272707386674356,1.2743308207611388,1.289221154306175,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.303004545246324,1.289221154306175
3,8,2,1024000,12806,12186,620,0.9962176491373376,20877,20199,678,0.9962176491373376,32937,32210,727,0.9962176491373376,660154,287695,372459,12.958336243047436,589341,257444,331897,13.383727751487505,441062,194901,246161,13.78923369526101,904702,352339,552363,10.185038290214656,952087,396530,555557,9.24942735514797,1071296,451481,619815,7.3149501519717175,1.5700223850847874,1.5188979683256374,1.5090068848439122,0.6490617128383647,0.6554417991365322,0.6626566448477476,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.5700223850847874,0.6626566448477476
4,6,1,1024000,19797,19462,335,0.9962240836680623,30142,29807,335,0.9962240836680623,40824,40489,335,0.9962240836680623,383239,382464,775,12.958120598447408,344639,343896,743,13.383538695519333,261504,260761,743,13.78906998499932,425957,425229,728,10.184862894095378,456321,455593,728,9.249273251424933,517081,516353,728,7.314829100516409,1.2379783716473938,1.234782273156991,1.25244158839926,1.2352335906334553,1.2320990684657238,1.249681172650044,1.1110821766794268,1.3685741168420151,827762,1024000,13.94225854346915,DistalPhalanxOutlineAgeGroup_TRAIN,1.25244158839926,1.249681172650044
5,6,2,1024000,14265,13800,465,0.9962240836680623,24995,24479,516,0.9962240836680623,41048,40490,558,0.9962240836680623,437453,339825,97628,12.958120598447408,402606,306256,96350,13.383538695519333,326965,234586,92379,13.78906998499932,498770,402755,96015,10.184862894095378,547811,451329,96482,9.249273251424933,606624,510113,96511,7.314829100516409,1.3538168645389883,1.3093557560506557,1.3041446072219556,1.0773413236148168,1.0498127970539628,1.050647574430275,1.1110821766794268,1.3685741168420151,827762,1024000,13.94225854346915,DistalPhalanxOutlineAgeGroup_TRAIN,1.3538168645389883,1.0773413236148168
6,10,1,1024000,15536,14747,789,0.9962176491373376,21603,20814,789,0.9962176491373376,28019,27230,789,0.9962176491373376,368534,348190,20344,12.958336243047436,332980,312604,20376,13.383727751487505,261733,241261,20472,13.78923369526101,417399,397447,19952,10.185038290214656,445898,425946,19952,9.24942735514797,502939,482987,19952,7.3149501519717175,1.346687989226496,1.3484969000373996,1.3626480083249277,1.277653908011414,1.2792308624439557,1.2918022281065384,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.3626480083249277,1.2918022281065384
7,10,2,1024000,11981,10849,1132,0.9962176491373376,18470,17262,1208,0.9962176491373376,28138,26873,1265,0.9962176491373376,634052,232303,401749,12.958336243047436,565002,209306,355696,13.383727751487505,426397,158818,267579,13.78923369526101,868650,277566,591084,10.185038290214656,933293,317697,615596,9.24942735514797,1063147,360792,702355,7.3149501519717175,1.9665154651846104,1.8814364326201392,1.8738002828999256,0.6760490478865875,0.6751210635793943,0.6747131480771335,1.1110821766794268,1.3685741168420151,827762,1024000,13.942412679445484,DistalPhalanxOutlineAgeGroup_TRAIN,1.9665154651846104,0.6760490478865875
8,12,1,1024000,15938,14369,1569,0.9962433630822982,20998,19429,1569,0.9962433630822982,26346,24777,1569,0.9962433630822982,444467,347211,97256,12.957895822730096,409178,312199,96979,13.383158966490113,335547,241605,93942,13.788641280845852,498690,402820,95870,10.18483417415863,527542,431786,95756,9.249285906437537,585494,489765,95729,7.314880007899985,1.3396127681841967,1.3413429672497492,1.3542340312135075,1.0676731710623035,1.0692082638104328,1.080867691872487,1.1110821766794268,1.3685741168420151,827762,1024000,13.941796053725104,DistalPhalanxOutlineAgeGroup_TRAIN,1.3542340312135075,1.080867691872487
9,12,2,1024000,13158,10874,2284,0.9962433630822982,18620,16218,2402,0.9962433630822982,26693,24227,2466,0.9962433630822982,619536,206178,413358,12.957895822730096,554416,186080,368336,13.383158966490113,426240,142754,283486,13.788641280845852,812202,239230,572972,10.18483417415863,894653,276601,618052,9.249285906437537,1017494,314715,702779,7.314880007899985,2.244226158384508,2.13823791655443,2.125822095263403,0.708701525922973,0.6976954927099679,0.6963963528961316,1.1110821766794268,1.3685741168420151,827762,1024000,13.941796053725104,DistalPhalanxOutlineAgeGroup_TRAIN,2.244226158384508,0.708701525922973
