,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,184320,1,0,1,0.0,4929,4788,141,0.24802620092185254,8997,8860,137,0.29238455999540164,41164,41036,128,2.324422245194268,30237,30111,126,3.2698926375059765,13704,13575,129,4.931605295151587,39159,39033,126,3.931979289127888,45132,45006,126,3.0461948211079206,57710,57585,125,1.5731941353031955,2.2965076438120633,2.301209783137945,2.2979105370767465,2.289234437875702,2.28997390980246,2.2867635199682392,3.7591776798825256,4.471181835823792,32194,184320,5.54498939064208,DodgerLoopGame_TRAIN,2.301209783137945,2.28997390980246
1,4,2,184320,1,0,1,0.0,2125,1958,167,0.24802620092185254,5968,5599,369,0.29238455999540164,40438,36114,4324,2.324422245194268,28600,24540,4060,3.2698926375059765,10066,9282,784,4.931605295151587,30580,26366,4214,3.931979289127888,35938,31738,4200,3.0461948211079206,48031,43836,4195,1.5731941353031955,2.941026295634414,3.1546518792359826,3.1288937174285762,2.588364157222901,2.7570114426744445,2.868481254960549,3.7591776798825256,4.471181835823792,32194,184320,5.54498939064208,DodgerLoopGame_TRAIN,3.1546518792359826,2.868481254960549
2,8,1,184320,1,0,1,0.0,3580,2709,871,0.24802620092185254,7104,5589,1515,0.29238455999540164,40411,36121,4290,2.324422245194268,30849,26615,4234,3.2698926375059765,15395,11564,3831,4.931605295151587,29444,25332,4112,3.931979289127888,35402,31237,4165,3.0461948211079206,47697,43545,4152,1.5731941353031955,2.990023521777922,3.0339242506542887,3.027098045656101,2.6313385107354956,2.6322779658112334,2.6186281752571463,3.7591776798825256,4.471181835823792,32194,184320,5.54498939064208,DodgerLoopGame_TRAIN,3.0339242506542887,2.6322779658112334
3,8,2,184320,1,0,1,0.0,2456,1285,1171,0.24802620092185254,5694,3506,2188,0.29238455999540164,60410,25227,35183,2.324422245194268,41366,17130,24236,3.2698926375059765,14152,7005,7147,4.931605295151587,31141,15477,15664,3.931979289127888,44540,19272,25268,3.0461948211079206,71470,28288,43182,1.5731941353031955,4.507042253521127,4.866020750283798,4.7272447487881815,2.0090687129403557,2.081441832102446,2.0142501202080694,3.7591776798825256,4.471181835823792,32194,184320,5.54498939064208,DodgerLoopGame_TRAIN,4.866020750283798,2.081441832102446
4,6,1,184320,1,0,1,0.0,3956,3442,514,0.24809196534386938,7548,6794,754,0.2924655337789495,38769,37974,795,2.3248145525953485,28683,27896,787,3.2702373918161727,13117,12316,801,4.931861529190103,30810,30040,770,3.9315106010442213,36800,36028,772,3.045769770357917,49243,48474,769,1.572921714613555,2.702401548250887,2.7283223304419906,2.7195467422096318,2.641747405836152,2.6470968390515717,2.6293865905848786,3.7591776798825256,4.471181835823792,32194,184320,5.545087267399126,DodgerLoopGame_TRAIN,2.7283223304419906,2.6470968390515717
5,6,2,184320,1,0,1,0.0,2190,1544,646,0.24809196534386938,5489,4268,1221,0.2924655337789495,55165,30666,24499,2.3248145525953485,38337,20692,17645,3.2702373918161727,11229,7958,3271,4.931861529190103,33603,19753,13850,3.9315106010442213,46481,24910,21571,3.045769770357917,69287,36190,33097,1.572921714613555,3.641896030507202,3.8937006210655287,3.791968400263331,2.071919155585032,2.1137614678899084,2.1383574834390986,3.7591776798825256,4.471181835823792,32194,184320,5.545087267399126,DodgerLoopGame_TRAIN,3.8937006210655287,2.1383574834390986
6,10,1,184320,1,0,1,0.0,3352,2227,1125,0.24822360987432845,6814,4732,2082,0.29262762869966114,51036,33881,17155,2.3253912385235402,38865,24758,14107,3.270823745875726,18029,10515,7514,4.932369882767427,33225,21843,11382,3.9307795730434485,42140,27708,14432,3.0450959102623525,57673,39742,17931,1.5728960309236706,3.2963731311252595,3.358294616015305,3.340280168898715,2.182489876145594,2.1800376113259765,2.2285631377859456,3.7591776798825256,4.471181835823792,32194,184320,5.54513845790775,DodgerLoopGame_TRAIN,3.358294616015305,2.2285631377859456
7,10,2,184320,1,0,1,0.0,2694,1089,1605,0.24822360987432845,6000,2974,3026,0.29262762869966114,59439,20869,38570,2.3253912385235402,40507,14227,26280,3.270823745875726,15785,6059,9726,4.932369882767427,29058,12673,16385,3.9307795730434485,40993,15449,25544,3.0450959102623525,65535,22676,42859,1.5728960309236706,5.463923637872769,5.954065316406629,5.77787530171468,2.0782500845642122,2.184248572038016,2.1062254319407625,3.7591776798825256,4.471181835823792,32194,184320,5.54513845790775,DodgerLoopGame_TRAIN,5.954065316406629,2.184248572038016
8,12,1,184320,1,0,1,0.0,3130,1915,1215,0.24828949005310508,6494,4196,2298,0.29270874992922885,59590,30941,28649,2.3255755453155835,43813,22523,21290,3.2710552720276325,18822,9491,9331,4.932523326933249,34642,18785,15857,3.9304910283304197,47203,24263,22940,3.0448482481882633,71778,35667,36111,1.573143715932797,3.692455627228655,3.7698648068230627,3.720179227384653,1.9520254169976172,1.9538256058004198,1.8946199864317579,3.7591776798825256,4.471181835823792,32194,184320,5.5450401587207,DodgerLoopGame_TRAIN,3.7698648068230627,1.9538256058004198
9,12,2,184320,1,0,1,0.0,2780,967,1813,0.24828949005310508,6082,2641,3441,0.29270874992922885,57129,17719,39410,2.3255755453155835,38914,12102,26812,3.2710552720276325,16192,5271,10921,4.932523326933249,27186,10627,16559,3.9304910283304197,37922,12873,25049,3.0448482481882633,60254,18777,41477,1.573143715932797,6.458756745392109,7.052881304048366,6.856887764592091,2.1810952809201494,2.309542902967121,2.228239845261122,3.7591776798825256,4.471181835823792,32194,184320,5.5450401587207,DodgerLoopGame_TRAIN,7.052881304048366,2.309542902967121
