,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,307200,8452,8310,142,1.2381815868853137,13964,13824,140,1.2381815868853137,21140,20998,142,1.2381815868853137,157222,157104,118,11.64850689550755,141787,141669,118,12.285237350882351,110812,110694,118,12.950528209696728,115314,115200,114,12.377285138412379,124914,124800,114,11.829557272786522,144114,144000,114,10.267603573260958,1.094742243793966,1.095995975639777,1.1142869579095513,1.0932851224963345,1.094543316765539,1.112777379322336,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.1142869579095513,1.112777379322336
1,4,2,307200,7333,6595,738,1.2381815868853137,14025,13105,920,1.2381815868853137,22456,21342,1114,1.2381815868853137,150149,146167,3982,11.64850689550755,137157,133179,3978,12.285237350882351,109828,105899,3929,12.950528209696728,119037,115194,3843,12.377285138412379,136161,132276,3885,11.829557272786522,155588,151718,3870,10.267603573260958,1.1464568809804594,1.102814474439977,1.101237099358687,1.1109544009634058,1.0691055637339346,1.0671409515340151,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.1464568809804594,1.1109544009634058
2,8,1,307200,7880,6252,1628,1.2381815868853137,11831,9839,1992,1.2381815868853137,16787,14790,1997,1.2381815868853137,151793,147820,3973,11.64850689550755,138252,134282,3970,12.285237350882351,110345,106428,3917,12.950528209696728,119042,115200,3842,12.377285138412379,128642,124800,3842,11.829557272786522,147842,144000,3842,10.267603573260958,1.140853857809204,1.1423429185522886,1.158292423591159,1.1022011732414831,1.1021616288456364,1.117196534945122,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.158292423591159,1.117196534945122
3,8,2,307200,8716,4971,3745,1.2381815868853137,13631,8986,4645,1.2381815868853137,19407,13784,5623,1.2381815868853137,314740,114826,199914,11.64850689550755,285527,103838,181689,12.285237350882351,232254,81927,150327,12.950528209696728,281870,91872,189998,12.377285138412379,300219,105816,194403,11.829557272786522,349106,123481,225625,10.267603573260958,1.4513225838455324,1.4050493962678376,1.4015110040512428,0.5074951348529553,0.5125321792461173,0.5113463289428347,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.4513225838455324,0.5125321792461173
4,6,1,307200,7754,7033,721,1.2381815868853137,12016,11281,735,1.2381815868853137,17731,16991,740,1.2381815868853137,152145,151412,733,11.64850689550755,137925,137192,733,12.285237350882351,108989,108271,718,12.950528209696728,115906,115200,706,12.377285138412379,125506,124800,706,11.829557272786522,144706,144000,706,10.267603573260958,1.12262237570575,1.1241505747000253,1.1408962274661854,1.1138304236688965,1.1152780752740092,1.1318001960018569,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.1408962274661854,1.1318001960018569
5,6,2,307200,7972,5791,2181,1.2381815868853137,13358,10710,2648,1.2381815868853137,19794,16685,3109,1.2381815868853137,225170,137856,87314,11.64850689550755,210901,125813,85088,12.285237350882351,177911,100266,77645,12.950528209696728,197219,112166,85053,12.377285138412379,213708,127851,85857,11.829557272786522,236451,147281,89170,10.267603573260958,1.2008772032695758,1.161990210837677,1.1626146719549486,0.7138193284242763,0.7014227099302002,0.7075797639558131,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.2008772032695758,0.7138193284242763
6,10,1,307200,8475,5961,2514,1.2381815868853137,12440,9266,3174,1.2381815868853137,17139,13920,3219,1.2381815868853137,165514,145434,20080,11.64850689550755,152290,132214,20076,12.285237350882351,124803,104933,19870,12.950528209696728,134364,114822,19542,12.377285138412379,143968,124440,19528,11.829557272786522,163178,143656,19522,10.267603573260958,1.1539458411746808,1.1552346570397112,1.1702455915797172,0.9962607790422017,0.9951473608510584,1.0068169900367068,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.1702455915797172,1.0068169900367068
7,10,2,307200,10877,4744,6133,1.2381815868853137,15715,8279,7436,1.2381815868853137,21635,12504,9131,1.2381815868853137,291711,92504,199207,11.64850689550755,267261,83679,183582,12.285237350882351,217124,66168,150956,12.950528209696728,253906,72420,181486,12.377285138412379,281008,85095,195913,11.829557272786522,325963,98525,227438,10.267603573260958,1.810594808685197,1.7350736785030472,1.7336636624773558,0.5520275151214569,0.5446963034412323,0.5439844737764776,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.810594808685197,0.5520275151214569
8,12,1,307200,8092,5409,2683,1.2381815868853137,11957,8395,3562,1.2381815868853137,16080,12497,3583,1.2381815868853137,228103,140713,87390,11.64850689550755,213612,127936,85676,12.285237350882351,180108,101487,78621,12.950528209696728,197527,112193,85334,12.377285138412379,209270,122025,87245,11.829557272786522,231686,141422,90264,10.267603573260958,1.1892456884036933,1.1890569601634953,1.2027908506456386,0.708287797252618,0.7064683710522746,0.717968373867073,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,1.2027908506456386,0.717968373867073
9,12,2,307200,10142,4098,6044,1.2381815868853137,14665,7159,7506,1.2381815868853137,20101,10754,9347,1.2381815868853137,267073,76621,190452,11.64850689550755,245419,69565,175854,12.285237350882351,198914,54643,144271,12.950528209696728,228326,59006,169320,12.377285138412379,257660,70067,187593,11.829557272786522,298480,81267,217213,10.267603573260958,2.198604401502952,2.0927713551920757,2.094583537882507,0.6076658470826303,0.5933434284124973,0.593628923950956,1.0822693836137651,1.0822083814784544,254487,307200,13.218049515707488,ECG200_TRAIN,2.198604401502952,0.6076658470826303
