,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,100096,2926,2777,149,1.3177118592061343,4580,4432,148,1.3177118592061343,6656,6509,147,1.3177118592061343,51798,51679,119,10.383966268707628,46746,46627,119,10.59465596360808,36476,36360,116,10.751453400096022,37602,37488,114,10.670231928328388,40726,40612,114,10.545010658883491,46974,46860,114,9.924099657684604,1.0875271621034333,1.0907624745278803,1.1143445588644587,1.083032178485642,1.0862525502452576,1.1096871466264606,1.365491651205937,1.3695271453590192,57257,100096,10.808977040601807,ECGFiveDays_TRAIN,1.1143445588644587,1.1096871466264606
1,4,2,100096,2715,2152,563,1.3177118592061343,4867,4196,671,1.3177118592061343,7572,6799,773,1.3177118592061343,52415,48417,3998,10.383966268707628,48217,44263,3954,10.59465596360808,39017,35082,3935,10.751453400096022,41243,37386,3857,10.670231928328388,46691,42798,3893,10.545010658883491,52987,49104,3883,9.924099657684604,1.136795720661889,1.0957056692172122,1.0989778329179523,1.0375975702038998,1.0022529062490613,1.0042539529657275,1.365491651205937,1.3695271453590192,57257,100096,10.808977040601807,ECGFiveDays_TRAIN,1.136795720661889,1.0375975702038998
2,8,1,100096,3082,2130,952,1.3182071096977617,4233,3181,1052,1.3182071096977617,5691,4623,1068,1.3182071096977617,52551,48558,3993,10.382470136021217,48181,44187,3994,10.593429945915124,38920,34980,3940,10.750428404757535,41168,37308,3860,10.669102802897884,44284,40423,3861,10.543962944486449,50525,46667,3858,9.923054052579506,1.1362666303410072,1.1389170184441384,1.1589745964847278,1.0330144380114967,1.0341136847325247,1.0510752688172043,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.1589745964847278,1.0510752688172043
3,8,2,100096,3566,1640,1926,1.3182071096977617,5328,2885,2443,1.3182071096977617,7458,4408,3050,1.3182071096977617,100374,34116,66258,10.382470136021217,91988,31196,60792,10.593429945915124,74479,24483,49996,10.750428404757535,86356,26231,60125,10.669102802897884,94901,30814,64087,10.543962944486449,110291,35845,74446,9.923054052579506,1.6122932203662839,1.5401517133141511,1.543928923988154,0.5257363754779613,0.5204848346185645,0.5204550654104532,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.6122932203662839,0.5257363754779613
4,6,1,100096,2917,2422,495,1.3182071096977617,4218,3692,526,1.3182071096977617,5919,5378,541,1.3182071096977617,50492,49756,736,10.382470136021217,45874,45138,736,10.593429945915124,36227,35505,722,10.750428404757535,38146,37440,706,10.669102802897884,41266,40560,706,10.543962944486449,47506,46800,706,9.923054052579506,1.1157232984818424,1.1185660326755023,1.140318299365452,1.0921430208071925,1.094495593413082,1.1153006195124124,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.140318299365452,1.1153006195124124
5,6,2,100096,3188,1913,1275,1.3182071096977617,4993,3435,1558,1.3182071096977617,7178,5326,1852,1.3182071096977617,92393,43486,48907,10.382470136021217,85465,39509,45956,10.593429945915124,70776,31341,39435,10.750428404757535,82891,34347,48544,10.669102802897884,88687,39257,49430,10.543962944486449,100104,45473,54631,9.923054052579506,1.253676010119987,1.2162776285891346,1.217179823921397,0.5605483625285606,0.5584436596537623,0.5618509828575278,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.253676010119987,0.5618509828575278
6,10,1,100096,3263,1992,1271,1.3182071096977617,4538,2972,1566,1.3182071096977617,5873,4299,1574,1.3182071096977617,66724,47259,19465,10.382470136021217,61838,42925,18913,10.593429945915124,52279,34070,18209,10.750428404757535,55588,36643,18945,10.669102802897884,58891,39793,19098,10.543962944486449,65276,45965,19311,9.923054052579506,1.164042330503547,1.1668104352691582,1.1855501598957716,0.7964924286430441,0.7984493032234391,0.8103364528350766,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.1855501598957716,0.8103364528350766
7,10,2,100096,3869,1482,2387,1.3182071096977617,5573,2581,2992,1.3182071096977617,7622,3867,3755,1.3182071096977617,91095,27382,63713,10.382470136021217,84449,24935,59514,10.593429945915124,68900,19506,49394,10.750428404757535,76253,20414,55839,10.669102802897884,85837,24206,61631,10.543962944486449,99773,28258,71515,9.923054052579506,2.0273018187710132,1.9316839708209503,1.9350822587816807,0.5842872403145121,0.568872723139439,0.5674665941006061,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,2.0273018187710132,0.5842872403145121
8,12,1,100096,3454,1831,1623,1.3182071096977617,4741,2721,2020,1.3182071096977617,5937,3920,2017,1.3182071096977617,93984,44157,49827,10.382470136021217,87179,39948,47231,10.593429945915124,72636,31675,40961,10.750428404757535,81565,34226,47339,10.669102802897884,87381,37266,50115,10.543962944486449,98213,43283,54930,9.923054052579506,1.2463703150292615,1.2507153478027264,1.2674551118089499,0.5588864259431934,0.5579580483508643,0.5658913852172635,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,1.2674551118089499,0.5658913852172635
9,12,2,100096,4198,1317,2881,1.3182071096977617,5965,2276,3689,1.3182071096977617,8217,3409,4808,1.3182071096977617,83928,22532,61396,10.382470136021217,77846,20457,57389,10.593429945915124,63651,16106,47545,10.750428404757535,69274,16672,52602,10.669102802897884,78114,19776,58338,10.543962944486449,90395,22928,67467,9.923054052579506,2.464386833099441,2.3493956108437977,2.3530407390864854,0.635546299588561,0.6177964584837768,0.616510325882766,1.365491651205937,1.3695271453590192,57257,100096,10.808025793520377,ECGFiveDays_TRAIN,2.464386833099441,0.635546299588561
