,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,14480000,325757,325616,141,1.508190437843901,561007,560866,141,1.508190437843901,872325,872183,142,1.5082260265479785,11329314,11329195,119,1.9993342160548564,10595209,10595090,119,2.9980975356583555,9131117,9130995,122,4.947000244074556,905114,905000,114,16.706943525408274,1357614,1357500,114,16.706943525408274,2262614,2262500,114,16.706871672783798,1.152883590366129,1.1571543464890914,1.180529930754745,1.1528492613763253,1.1571197626945549,1.1804935506571959,1.1820809588309285,1.4632411195007196,11961057,14480000,17.27167549578784,EOGHorizontalSignal_TRAIN,1.180529930754745,1.1804935506571959
1,4,2,14480000,246617,243853,2764,1.508190437843901,546253,543281,2972,1.508190437843901,715472,712434,3038,1.5082260265479785,10585414,10581423,3991,1.9993342160548564,9954907,9950890,4017,2.9980975356583555,8587625,8583630,3995,4.947000244074556,907703,903850,3853,16.706943525408274,1548039,1544017,4022,16.706943525408274,2520502,2516519,3983,16.706871672783798,1.2345335875835932,1.2028388325551984,1.2258114927107813,1.2334180655200535,1.2017396343109612,1.2246694090352692,1.1820809588309285,1.4632411195007196,11961057,14480000,17.27167549578784,EOGHorizontalSignal_TRAIN,1.2345335875835932,1.2334180655200535
2,8,1,14480000,204075,200696,3379,1.5081914502138536,344912,341193,3719,1.5081914502138536,546434,542704,3730,1.5082270392325303,10421843,10417808,4035,1.9993342043447366,9786395,9782360,4035,2.99809772234342,8475259,8471289,3970,4.947001348126223,907663,903814,3849,16.706930865325845,1359566,1355717,3849,16.706930865325845,2263612,2259762,3850,16.70685901206618,1.2566915788993152,1.2614042530579035,1.284399031201228,1.2554643696524088,1.2601305401251932,1.2830845067988859,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.284399031201228,1.2830845067988859
3,8,2,14480000,187692,159476,28216,1.5081914502138536,375056,342115,32941,1.5081914502138536,496000,459167,36833,1.5082270392325303,11626590,9542188,2084402,1.9993342043447366,11083195,9000031,2083164,2.99809772234342,9879474,7818810,2060664,4.947001348126223,1893928,841235,1052693,16.706930865325845,2476630,1400598,1076032,16.706930865325845,3906504,2338149,1568355,16.70685901206618,1.3734362816147627,1.347886536251818,1.3639627110680488,1.056301296814099,1.0391190279988756,1.0138651662955929,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.3734362816147627,1.056301296814099
4,6,1,14480000,242551,241591,960,1.5081914502138536,414198,413252,946,1.5081914502138536,651417,650462,955,1.5082270392325303,10774251,10773508,743,1.9993342043447366,10102884,10102141,743,2.99809772234342,8762233,8761490,743,4.947001348126223,905698,904992,706,16.706930865325845,1358194,1357488,706,16.706930865325845,2263186,2262480,706,16.70685901206618,1.2147558269479655,1.2195860465543282,1.2403173019466813,1.2145103795344936,1.2193400810221169,1.2400619482880466,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.2403173019466813,1.2400619482880466
5,6,2,14480000,199477,188497,10980,1.5081914502138536,422787,410491,12296,1.5081914502138536,558129,544847,13282,1.5082270392325303,10068602,9971447,97155,1.9993342043447366,9497675,9400309,97366,2.99809772234342,8245875,8148435,97440,4.947001348126223,989666,894723,94943,16.706930865325845,1585906,1487195,98711,16.706930865325845,2538614,2441767,96847,16.70685901206618,1.3098540191215167,1.2816433358308266,1.3003984086643894,1.2862256162313146,1.2584335908602957,1.2766012220459158,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.3098540191215167,1.2862256162313146
6,10,1,14480000,183500,175035,8465,1.508190437843901,306912,296311,10601,1.508190437843901,485442,474954,10488,1.5082260265479785,10189295,10168981,20314,1.9993342160548564,9574746,9554677,20069,2.9980975356583555,8303748,8283672,20076,4.947000244074556,921216,901680,19536,16.706943525408274,1372265,1352731,19534,16.706943525408274,2274629,2255100,19529,16.706871672783798,1.287603719680845,1.29242798752807,1.3147231009741844,1.2820954397866267,1.2866624376228628,1.308770506820475,1.1820809588309285,1.4632411195007196,11961057,14480000,17.27167549578784,EOGHorizontalSignal_TRAIN,1.3147231009741844,1.308770506820475
7,10,2,14480000,188574,139018,49556,1.508190437843901,356977,296676,60301,1.508190437843901,471417,401193,70224,1.5082260265479785,19386182,8731062,10655120,1.9993342160548564,18356198,8212870,10143328,2.9980975356583555,16139437,7114294,9025143,4.947000244074556,2185078,699203,1485875,16.706943525408274,2779544,1238985,1540559,16.706943525408274,5053665,2048662,3005003,16.706871672783798,1.5131750205318413,1.4853519981625949,1.5139872873164146,0.6654462529447606,0.6737165269782758,0.6683739435895161,1.1820809588309285,1.4632411195007196,11961057,14480000,17.27167549578784,EOGHorizontalSignal_TRAIN,1.5139872873164146,0.6737165269782758
8,12,1,14480000,175041,159848,15193,1.5081914502138536,288915,269407,19508,1.5081914502138536,454335,434737,19598,1.5082270392325303,10080785,9983229,97556,1.9993342043447366,9473308,9376189,97119,2.99809772234342,8243520,8146350,97170,4.947001348126223,993036,898240,94796,16.706930865325845,1443192,1348447,94745,16.706930865325845,2344351,2249684,94667,16.70685901206618,1.3114377569270044,1.3170768933685268,1.336931599791003,1.2872413227222452,1.2922323715810615,1.3113321740239223,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.336931599791003,1.3113321740239223
9,12,2,14480000,201795,126409,75386,1.5081914502138536,359927,267655,92272,1.5081914502138536,474817,365155,109662,1.5082270392325303,20751560,7522989,13228571,1.9993342043447366,19591663,7081481,12510182,2.99809772234342,17143996,6152800,10991196,4.947001348126223,2007677,575086,1432591,16.706930865325845,2659457,1097241,1562216,16.706930865325845,4858615,1774871,3083744,16.70685901206618,1.7605967742170816,1.7143445053423498,1.746087521913519,0.6306336753504808,0.6403949361566494,0.644201818820196,1.1820809588309285,1.4632411195007196,11961057,14480000,17.271665354041005,EOGHorizontalSignal_TRAIN,1.7605967742170816,0.644201818820196
