,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,9031680,189100,188971,129,1.1529168359270063,330436,330315,121,1.1529168359270063,479604,479482,122,1.1531622208520695,1151459,1151320,139,16.456613115325506,830689,830550,139,16.489215552845717,305054,304914,140,16.51382096674662,5543661,5543542,119,4.189144144273393,5778339,5778220,119,3.2119633237908523,6178443,6178321,122,1.3438995265610878,1.31201323448724,1.301566416897905,1.297148799814785,1.3119394789823684,1.3014953316279183,1.2970772648565632,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.31201323448724,1.3119394789823684
1,4,2,9031680,124731,124119,612,1.1529168359270063,274567,273815,752,1.1529168359270063,486766,485934,832,1.1531622208520695,1105781,1100794,4987,16.456613115325506,820137,815134,5003,16.489215552845717,337499,335873,1626,16.51382096674662,5449589,5445611,3978,4.189144144273393,5446846,5442882,3964,3.2119633237908523,5815833,5811834,3999,1.3438995265610878,1.3539685937716437,1.3827179545827195,1.3614966501804966,1.3520274618602324,1.3806636041916671,1.3601726962463505,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.3827179545827195,1.3806636041916671
2,8,1,9031680,107082,106069,1013,1.1529168359270063,180351,179332,1019,1.1529168359270063,260267,259247,1020,1.1531622208520695,912315,907784,4531,16.456613115325506,641548,636971,4577,16.489215552845717,221158,217148,4010,16.51382096674662,5251262,5247276,3986,4.189144144273393,5470491,5466504,3987,3.2119633237908523,5831996,5828008,3988,1.3438995265610878,1.4425002263968687,1.4375230689085308,1.4325987726355691,1.4403079484947277,1.4353337920885387,1.430552469097182,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.4425002263968687,1.4403079484947277
3,8,2,9031680,78778,75404,3374,1.1529168359270063,159051,154864,4187,1.1529168359270063,270442,265561,4881,1.1531622208520695,960370,812751,147619,16.456613115325506,677146,591549,85597,16.489215552845717,246090,232405,13685,16.51382096674662,6888226,5002365,1885861,4.189144144273393,6971420,5052790,1918630,3.2119633237908523,7276513,5353619,1922894,1.3438995265610878,1.5332568262224726,1.557400215167498,1.5434587381025824,1.1393028763371074,1.1567780540464523,1.1589410814386418,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.557400215167498,1.1589410814386418
4,6,1,9031680,132958,132517,441,1.1529168359270063,228820,228380,440,1.1529168359270063,331591,331147,444,1.1531622208520695,995584,994715,869,16.456613115325506,702827,701953,874,16.489215552845717,248036,247124,912,16.51382096674662,5347884,5347153,731,4.189144144273393,5576190,5575458,732,3.2119633237908523,5968479,5967747,732,1.3438995265610878,1.394986550846142,1.3882524046653204,1.3797212289975371,1.394546930668242,1.387815951751711,1.3792812761430557,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.394986550846142,1.394546930668242
5,6,2,9031680,91919,90391,1528,1.1529168359270063,195185,193218,1967,1.1529168359270063,339971,337586,2385,1.1531622208520695,973413,916291,57122,16.456613115325506,701871,667699,34172,16.489215552845717,271942,266632,5310,16.51382096674662,5281076,5183062,98014,4.189144144273393,5308519,5211013,97506,3.2119633237908523,5632778,5534959,97819,1.3438995265610878,1.459136274456585,1.4874479778258314,1.471154846977046,1.4231168245092343,1.4554138818723485,1.4462973428148806,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.4874479778258314,1.4554138818723485
6,10,1,9031680,91354,89500,1854,1.1529168359270063,151319,149361,1958,1.1529168359270063,217625,215650,1975,1.1531622208520695,876314,853859,22455,16.456613115325506,617188,594585,22603,16.489215552845717,210701,198802,11899,16.51382096674662,5207250,5187109,20141,4.189144144273393,5423477,5403324,20153,3.2119633237908523,5770527,5750330,20197,1.3438995265610878,1.4732447832694013,1.4692180431313413,1.4650445060344388,1.4626396658222829,1.4586084201767964,1.456992124188136,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.4732447832694013,1.4626396658222829
7,10,2,9031680,70419,65086,5333,1.1529168359270063,137058,130421,6637,1.1529168359270063,228771,220701,8070,1.1531622208520695,984083,738099,245984,16.456613115325506,683893,534766,149127,16.489215552845717,237410,209498,27912,16.51382096674662,10153798,4530261,5623537,4.189144144273393,10551686,4580973,5970713,3.2119633237908523,10960624,4874692,6085932,1.3438995265610878,1.6934042268357081,1.721579212223798,1.7025194297111854,0.8058028425363347,0.7941588217402876,0.7903941652981739,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.721579212223798,0.8058028425363347
8,12,1,9031680,82226,79341,2885,1.1529168359270063,133524,130269,3255,1.1529168359270063,190938,187664,3274,1.1531622208520695,913873,817275,96598,16.456613115325506,640678,565150,75528,16.489215552845717,211848,186850,24998,16.51382096674662,5244675,5148051,96624,4.189144144273393,5460841,5364154,96687,3.2119633237908523,5810117,5712741,97376,1.3438995265610878,1.4941567500740736,1.4904812599831705,1.4837032455515664,1.4472051062897007,1.4485353188422276,1.453697249095954,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.4941567500740736,1.453697249095954
9,12,2,9031680,67899,59259,8640,1.1529168359270063,125962,115274,10688,1.1529168359270063,205110,192007,13103,1.1531622208520695,1068886,685126,383760,16.456613115325506,730499,497004,233495,16.489215552845717,244145,194866,49279,16.51382096674662,10778125,3968027,6810098,4.189144144273393,11239577,3994275,7245302,3.2119633237908523,11667661,4264176,7403485,1.3438995265610878,1.9165726596061634,1.9606156707629327,1.9418587075732807,0.7580149577294332,0.7466643209950233,0.745377784248071,1.591705356299443,1.5961070009232017,7993427,9031680,16.51991060512775,UWaveGestureLibraryY_TRAIN,1.9606156707629327,0.7580149577294332
