,M,N,Original Size (bits),b1_leading_compressed_size,b1_leading_encoded_size,b1_leading_dic_size_bits,b1_leading_entropy,b2_leading_compressed_size,b2_leading_encoded_size,b2_leading_dic_size_bits,b2_leading_entropy,b3_leading_compressed_size,b3_leading_encoded_size,b3_leading_dic_size_bits,b3_leading_entropy,b1_content_compressed_size,b1_content_encoded_size,b1_content_dic_size_bits,b1_content_entropy,b2_content_compressed_size,b2_content_encoded_size,b2_content_dic_size_bits,b2_content_entropy,b3_content_compressed_size,b3_content_encoded_size,b3_content_dic_size_bits,b3_content_entropy,b1_trailing_compressed_size,b1_trailing_encoded_size,b1_trailing_dic_size_bits,b1_tailing_entropy,b2_trailing_compressed_size,b2_trailing_encoded_size,b2_trailing_dic_size_bits,b2_tailing_entropy,b3_trailing_compressed_size,b3_trailing_encoded_size,b3_trailing_dic_size_bits,b3_tailing_entropy,com_ratio_b1,com_ratio_b2,com_ratio_b3,t_com_ratio_b1,t_com_ratio_b2,t_com_ratio_b3,comp_ratio_zstd_default,comp_ratio_l22,Non_uniform_1x4,bool_array_size_bits,entropy_all,dataset_name,max_com_ratio,t-max_com_ratio
0,4,1,4089600,86108,85972,136,1.1307666046017741,150690,150541,149,1.1307666046017741,218740,218591,149,1.1312728659844635,1058370,1058242,128,16.510320644038824,867831,867702,129,16.723239124381234,489517,489384,133,16.897247138054425,2300514,2300400,114,7.245440424112615,2428314,2428200,114,6.247903350017708,2683914,2683800,114,4.266435242478324,1.1872447827245665,1.1866147213228246,1.2057403571876082,1.1871145128929181,1.1864797705721335,1.205599599784327,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2057403571876082,1.205599599784327
1,4,2,4089600,57362,56798,564,1.1307666046017741,124990,124285,705,1.1307666046017741,220968,220128,840,1.1312728659844635,919104,914783,4321,16.510320644038824,749045,744660,4385,16.723239124381234,422506,417877,4629,16.897247138054425,2304242,2300400,3842,7.245440424112615,2541758,2537900,3858,6.247903350017708,2795891,2792033,3858,4.266435242478324,1.2498850085009663,1.2004068280182985,1.1922899979533754,1.2465601937142836,1.1972622462778042,1.1890567008735624,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2498850085009663,1.2465601937142836
2,8,1,4089600,49982,49092,890,1.1307666046017741,84010,82783,1227,1.1307666046017741,120820,119585,1235,1.1312728659844635,936730,932520,4210,16.510320644038824,767903,763628,4275,16.723239124381234,432140,427716,4424,16.897247138054425,2304242,2300400,3842,7.245440424112615,2432042,2428200,3842,6.247903350017708,2687642,2683800,3842,4.266435242478324,1.2460649138394375,1.248881164816218,1.2656985962370102,1.2426791744886134,1.245327661310828,1.2619877417837797,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2656985962370102,1.2619877417837797
3,8,2,4089600,37727,35198,2529,1.1307666046017741,74665,71401,3264,1.1307666046017741,125705,121615,4090,1.1312728659844635,1279434,735211,544223,16.510320644038824,984377,591938,392439,16.723239124381234,468067,323879,144188,16.897247138054425,4049236,2249269,1799967,7.245440424112615,4244916,2447661,1797255,6.247903350017708,4525174,2694632,1830542,4.266435242478324,1.3543165860730846,1.3145612343297974,1.3023681215339766,0.762075560194298,0.7710468295563426,0.7989144640322441,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.3543165860730846,0.7989144640322441
4,6,1,4089600,61450,60943,507,1.1307666046017741,105342,104763,579,1.1307666046017741,152286,151703,583,1.1312728659844635,978554,977771,783,16.510320644038824,803011,802223,788,16.723239124381234,450438,449607,831,16.897247138054425,2301106,2300400,706,7.245440424112615,2428906,2428200,706,6.247903350017708,2684506,2683800,706,4.266435242478324,1.2247560280960759,1.2261984788854354,1.2448898210410002,1.2240243511886768,1.2254368030770162,1.2440869668383412,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2448898210410002,1.2440869668383412
5,6,2,4089600,43224,41932,1292,1.1307666046017741,89966,88307,1659,1.1307666046017741,155805,153671,2134,1.1312728659844635,923426,820358,103068,16.510320644038824,761112,662037,99075,16.723239124381234,426620,363235,63385,16.897247138054425,2393741,2299456,94285,7.245440424112615,2608826,2513884,94942,6.247903350017708,2859705,2764614,95091,4.266435242478324,1.2934625362062606,1.2528536609575067,1.2462517369999269,1.217001235868088,1.1819981132424484,1.1881015533986223,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2934625362062606,1.217001235868088
6,10,1,4089600,43559,42149,1410,1.1307666046017741,71514,69714,1800,1.1307666046017741,102250,100411,1839,1.1312728659844635,919955,898768,21187,16.510320644038824,756843,735463,21380,16.723239124381234,436353,414195,22158,16.897247138054425,2319858,2300400,19458,7.245440424112615,2447658,2428200,19458,6.247903350017708,2702958,2683498,19460,4.266435242478324,1.2617093607320728,1.2648076608449927,1.2787576639158702,1.245548783384886,1.248345932481994,1.2616143888700537,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2787576639158702,1.2616143888700537
7,10,2,4089600,34888,31148,3740,1.1307666046017741,66029,61055,4974,1.1307666046017741,108887,102313,6574,1.1312728659844635,1407533,641228,766305,16.510320644038824,1067398,518560,548838,16.723239124381234,500608,289725,210883,16.897247138054425,5813926,1926226,3887700,7.245440424112615,6022283,2107124,3915159,6.247903350017708,6575812,2335920,4239892,4.266435242478324,1.5737692805593162,1.5221426420653439,1.4991433152563198,0.5635893652825589,0.571515614802724,0.5691614846797778,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.5737692805593162,0.571515614802724
8,12,1,4089600,39304,37384,1920,1.1307666046017741,63491,60873,2618,1.1307666046017741,90051,87377,2674,1.1312728659844635,972509,871125,101384,16.510320644038824,814499,712902,101597,16.723239124381234,483743,398817,84926,16.897247138054425,2394409,2300169,94240,7.245440424112615,2522173,2427932,94241,6.247903350017708,2776844,2682566,94278,4.266435242478324,1.2745435970826615,1.2773186303431263,1.2905994773980989,1.2006263831306356,1.2027658674010628,1.2205436695936713,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.2905994773980989,1.2205436695936713
9,12,2,4089600,33281,28205,5076,1.1307666046017741,60521,53800,6721,1.1307666046017741,97771,88929,8842,1.1312728659844635,1409400,557388,852012,16.510320644038824,1101086,456144,644942,16.723239124381234,534563,261111,273452,16.897247138054425,5378433,1593596,3784837,7.245440424112615,5663173,1766791,3896382,6.247903350017708,6251165,1956313,4294852,4.266435242478324,1.876661455247801,1.7962564813208388,1.773189099847248,0.599550161454566,0.5992281069865988,0.5941164515314087,1.0890684119030576,1.0891681882778061,4331126,4089600,16.957569399302667,Yoga_TRAIN,1.876661455247801,0.599550161454566
